INFO,CREDIT
First Year,Credits
Second  Year,
COSC 111 or 123,3
COSC 121,3
"ENGL 109, or two of 112, 113, 114, 150, 151, 153, 154, 155, or 156",6
"MATH 100, 101",6
PHYS 111 or 112,3
"Electives1,4",9
Total Credits,30
"COSC 211, 221, 222",9
MATH 221,3
STAT 230,3
"Electives2,4",15
Total Credits,30
Third and Fourth Years,
COSC 320,3
"COSC 304, 310, 3413",9
COSC 4993,6
PHIL 331,3
Upper-level Computer Science electives,18
Upper-level electives4,3
Electives4,18
Total Credits,60
Minimum credits for degree4,120
