INFO,CREDIT
First Year,Credits
CHEM 111 or CHEM 121; and CHEM 113 or CHEM 123,6
"MATH 100, 101",6
"ENGL 109, or two of ENGL 112, 113, 114, 150, 151, 153, 154, 155, or 156",6
PHYS 111 or 112,3
"PHYS 102, 121 or 122",3
"BIOL 116, 125; or two of EESC 101, 111, 1211",6
Total Credits,30
Second Year,
"One of CHEM 201, 210",3
"CHEM 203, 204",6
CHEM 211,3
CHEM 220,3
"BIOL 116, 125; or two of EESC 101, 111, 1211",6
Arts elective2,3
Electives2,6
Total Credits,30
Third and Fourth Years,
"CHEM 301, 302",6
CHEM 311,3
CHEM 317,3
"One of CHEM 330, 333, 403",3
"Two of CHEM 335, 336, 337, 338",3
"One of CHEM 412, 434",3
CHEM 461,3
EESC 309,3
EESC 3233,3
EESC 4233,3
"Two approved environmental electives2,4",6
Arts electives2,9
Electives2,9
Total Credits,60
Minimum credits for degree,120
