INFO,CREDIT
First Year,Credits
CHEM 111 or CHEM 121; and CHEM 113 or CHEM 123,6
"COSC 111, 121",6
"ENGL 109, or two of ENGL 112, 113, 114, 150, 151, 153, 154, 155, or 156",6
"MATH 100, 101",6
PHYS 111 or 112,3
"PHYS 102, 121 or 122",3
Total Credits,30
Second Year,
"COSC 221, 222",6
DATA 311,3
"MATH 200, 220, 221, 225",12
STAT 230,3
Arts electives1,6
Total Credits,30
Third and Fourth Years,
"COSC 310, 320",6
MATH 307,3
"One of MATH 311, 327",3
"One of MATH 319, 340",3
STAT 303,3
"One of STAT 401, 410",3
Arts electives1,6
Upper-level Computer Science elective,3
Upper-level Mathematics elective,3
Upper-level Science elective,3
Upper-level Statistics elective,3
"Upper-level electives selected from Mathematics, Statistics, Data Science, or Computer Science",9
Upper-level electives,9
Elective,3
Total Credits,60
Minimum credits for degree,120
