INFO,CREDIT
First Year,APSC 100
3,APSC 1011
3,APSC 160
3,CHEM 1541
3,WRDS 1502
3,MATH 100
3,MATH 101
3,MATH 152
3,PHYS 157
3,PHYS 158
3,PHYS 159
1,PHYS 170
3,Complementary Studies electives3
3,Total Credits
37,"1 Students transferring into Engineering with CHEM 121 and 123 will not be required to take APSC 101 or CHEM 154, but will be required to take APSC 100."
2 Or another first-year English course.,
3 See Complementary Studies Courses.,APSC 100
First Year,APSC 160
3,APSC 201
3,MATH 152
3,MATH 253
3,MATH 255
3,PHYS 170
3,STAT 251
3,Complementary Studies electives1
3,Total Credits
6,1 See Complementary Studies Courses.
30,
