INFO,CREDIT
Second Year,APSC 201
3,CIVL 210
4,CIVL 215
4,CIVL 230
4,EOSC 210
3,EOSC 213
3,EOSC 220
3,EOSC 221
3,EOSC 2231
3,EOSC 240
3,MATH 253
3,STAT 251
3,Total Credits
39,"1 Includes one week field school, end of Term 2."
Third Year,CIVL 311
4,CIVL 316
4,EOSC 323
3,EOSC 3281 or 4281
3,EOSC 329
3,EOSC 330
3,EOSC 350
3,MINE 303
3,Earth Sciences technical elective2
3,Technical electives
6,Complementary Studies electives3
6,Total Credits
41,1 End of third year.
"2 300- or 400-level EOSC course from the Department of Earth, Ocean and Atmospheric Sciences.",3 See Complementary Studies Courses.
Fourth Year,CIVL 402
3,CIVL 410
3,CIVL 411
3,EOSC 429
3,EOSC 433
3,EOSC 434
3,EOSC 445
6,"One of CHBE 459, CIVL 403, CPEN 481, ELEC 481, MTRL 455, MECH 431, MINE 396"
3,Technical electives
12,Total Credits
39,
