INFO,CREDIT
Second Year,Third Year
Fourth Year,APSC 278
3,APSC 279
1,CHBE 241
3,CHBE 244
3,CIVL 215
4,CPEN 312
3,ELEC 204
4,ELEC 205
1,IGEN 2011
3,IGEN 230
6,MATH 253
3,MATH 255
3,MECH 260
3,Total Credits
40,CHBE 344
3,COMM 280
3,ELEC 344
3,IGEN 330
6,MECH 360
3,MECH 375
3,MTRL 280
3,STAT 251
3,"One of CHBE 356, ELEC 341"
3,Technical electives2
6,Complementary Studies electives3
3,Total Credits
39,APSC 450
2,CIVL 305
3,IGEN 430
6,MTRL 340
3,One of MINE 455 or MINE 465
3,"One of CHBE 459, CIVL 403, ELEC 481, MECH 431, MINE 396, MTRL 455"
3,Technical electives2
12,Complementary Studies electives3
3,Total Credits
35,1 Students failing IGEN 201 will be required to pass APSC 201 subsequently.
,"2 Of the 18 credits of technical electives, 9 credits must be in  one engineering discipline and 6 in another discipline. Several elective streams are possible. Consult the IGEN Student Advisor for assistance."
3 See Complementary Studies Courses.,
