INFO,CREDIT
Second Year,
Third Year,
Fourth Year,
APSC 278,3
APSC 279,1
CPEN 223,4
ELEC 203,3
MANU 201,3
MANU 230,4
MANU 261,3
MANU 265,3
MATH 253,3
MATH 255,3
MECH 260,3
MTRL 263,3
MTRL 264,3
Total Credits,39
,
APSC 261,3
CPEN 333,3
MANU 270,3
MANU 330,6
MANU 378,3
MANU 380,3
MANU 386,3
MECH 360,3
MECH 368,3
MECH 491,3
MTRL 455,3
STAT 251,3
Total Credits,39
,
APSC 450,2
MANU 370,3
MANU 430,6
MANU 480,3
MANU 481,3
MANU 485,3
MECH 462,3
MECH 463,4
MECH 467,4
Technical Electives1,6
Complementary Study2,3
Total Credits,40
1 To be chosen in consultation with departmental advisors,2 See Complementary Studies Courses.
,
