INFO,CREDIT
Second Year,Third Year
Fourth Year,APSC 278
3,APSC 279
1,MATH 253
3,MATH 255
3,MECH 260
3,MTRL 201
3,MTRL 250
4,MTRL 252
4,MTRL 263
3,MTRL 264
3,MTRL 280
3,Complementary Studies electives1
6,Total Credits
39,MTRL 340
3,MTRL 350
4,MTRL 358
3,MTRL 359
1,MTRL 361
4,MTRL 363
3,MTRL 365
3,MTRL 378
3,MTRL 381
1,MTRL 382
4,MTRL 392
2,MTRL 394
4,MTRL 398
1,STAT 251
3,Total Credits
39,APSC 450
2,MTRL 455
3,MTRL 456
3,MTRL 460
3,MTRL 466
3,MTRL 467
3,MTRL 489
1,Technical electives2
21,Total Credits
39,1 See Complementary Studies Courses.
2 To be chosen from a course list available in the Department Office and in consultation with an Undergraduate Advisor.,
