INFO,CREDIT
Second Year,Third Year
Fourth Year,APSC 201
3,CIVL 210
4,EOSC 210
3,MATH 253
3,MATH 255
3,MECH 260
3,"MECH 280, CIVL 215, or CHBE 251"
3 (4),MINE 224
4,MINE 291
3,MINE 292
3,MINE 293
1,STAT 251
3,Complementary Studies electives1
3,Total Credits
39 (40),APSC 278
3,APSC 279
1,ELEC 203
3,MINE 302
3,MINE 303
4,MINE 304
3,MINE 310
4,MINE 331
3,MINE 333
3,MINE 350
3,MINE 393
1,MINE 396
3,Technical electives2
6,Total Credits
40,APSC 450
2,MINE 402
3,MINE 404
3,MINE 432
3,MINE 465
3,MINE 480
3,MINE 486
3,MINE 491
6,MINE 493
1,"Any 2 of: MINE403, MINE420, MINE434, MINE462, MINE455"
6,Complementary Studies electives1
3,Total Credits
36,1 See Complementary Studies Courses.
2 Selected with the approval of the Department.,
