INFO,CREDIT
Department/Major,Research-Intensive Approved Course(s)
Anthropology,"ANTH 317, 407, 408, 417, 418, 428, 431, 449, 452, 478; ARCL 306, 405, 406, 419"
Art History,"ARTH 410, 432, 436, 437, 439, 440, 442, 443, 445, 448, 450, 455, 458, 459, 464, 471, 476, 479, 480"
Asian Area Studies,"ASIA 402, 407, 408, 427, 440, 442, 445, 451, 453, 468, 477, 495, 498, 499, CHIN 482, JAPN 408, 453, 462, KORN 410"
Asian Language and Culture,"ASIA 402, 407, 408, 427, 440, 442, 445, 451, 453, 468, 477, 495, 498, 499, CHIN 482, JAPN 408, 453, 462, KORN 410"
Canadian Studies,CDST 450
"Classical, Near Eastern and Religious Studies","CLST 401, 402, 403, 404, CNRS 410, 449, NEST 401, 402, RELG 403, 414, 415, 448, 475, 485"
Cognitive Systems,COGS 402
Computer Science,"CPSC 319, 410, 444, 491; also CPSC 448, 449 (with the approval of the Department of Computer Science)"
Critical Studies in Sexuality,"CSIS 450, GRSJ 422, 480"
Economics,"ECON 390, 490, 495, 499"
"English, Emphasis Literature","ENGL 490, 491, 492, 496, 499"
"English, Emphasis Language",ENGL 489
Film Studies,"FIST 445, 449"
First Nations and Endangered Languages,"FNEL 389, 448, 481, 482"
First Nations and Indigenous Studies,FNIS 400
First Nations Languages and Linguistics,"LING 431, 432, 447"
French,FREN 495
"Gender, Race, Sexuality & Social Justice Studies","GRSJ 422, 480"
"Geography, Environment and Sustainability","GEOG 312, 315, 345, 371, 379, 395, 410, 412, 419, 424, 429, 446, 447, 448, 450, 453, 495, 498 GEOB 309, 405, 406, 407, 472, 479, URST 400"
"Geography, Human","GEOG 312, 315, 345, 371, 379, 395, 410, 412, 419, 424, 429, 446, 447, 448, 450, 453, 495, 498 GEOB 309, 405, 406, 407, 472, 479, URST 400"
German,"GERM 403, 404, 406, 408, 420, 439, 449"
History,"HIST 403, 449, 466, 467, 468, 479, 490"
History and Philosophy of Science,"PHIL 491, HIST 490"
History with International Relations,"HIST 403, 449, 466, 467, 468"
