INFO,CREDIT
EDUC 315,2
EDUC 3211,1
EDUC 4182,12
EDUC 430,1
EDUC 440,3
EDUC 450,2
EDUC 451,2
EDUC 452,2
EDCP 301,2
EDCP 308,2
EDCP 320,2
EDCP 331,2
EDPC 340,2
EDCP 349,2
EPSE 308,3
EPSE 310,2
EPSE 311,1
EPSE 317,3
EDST 401,3
EDST 403,1
EDST 404,1
LLED 350,3
LLED 351,2
LLED 3523,2
LLED 353,2
Total Credits,60
Total Credits (French specialists),62
1 EDUC 323 replaces this course for middle years  teacher candidates.,
2 EDUC 419 replaces this course for middle years  teacher candidates.,
3 All Elementary teacher candidates in the French option take LLED 325 (4 credits) in lieu of LLED 352 (2 credits).,
