INFO,CREDIT
Academic Component1,Indigenous Concentration
Professional Courses,Total Credits
151,English 100-level2 Literature and Composition
6,Canadian studies
3,Science
3,Mathematics2
3,Senior Academic Courses
18,Approved Electives
36,EDUC 140
3,EDUC 141
3,EDUC 143
2,EDUC 240
3,EDUC 244
2,EDUC 344
2,EDCP 362d
3,LLED 336
3,EDUC 442
1,EPSE 317
3,EDCP 301
2,EDCP 308
2,EDCP 320
2,EDCP 331
2,EDCP 340
2,EDCP 349
2,EDUC 315
2,EDUC 321
1,EPSE 308
3,EPSE 310
2,EPSE 311
1,LLED 350
3,LLED 351
2,LLED 352
2,LLED 353
2,EDST 401
3,EDST 403
1,EDST 404
1,EDUC 418
12,EDUC 430
1,EDUC 440
3,EDUC 450
2,EDUC 451
2,EDUC 452
2,1  Students should consult with NITEP regarding course planning. All courses must be university level.
2  English and mathematics must be completed in order to advance to fourth year.,Indigenous Studies
Academic Component1,English 100-level2 Literature and Composition
Professional Courses,Academic Arts/science prerequisites and/or electives3
6,Senior academic courses4 (Two teachable subjects at 18-24 cr. each OR one teachable subject at 30 cr.)
33,EDUC 140
30-42,EDUC 141
3,EDUC 143
3,EDUC 240
2,EDUC 244
3,EDCP 362d
2,EDUC 344
3,LLED 336
2,EDUC 442
3,EDCP Curriculum I (Required)
1,EDCP Curriculum II (Elective)
3,EDCP Curriculum III
3,EDCP Elective
3,EDUC 315
3,EDUC 421
2,EPSE 308
12,EPSE 310
3,EPSE 311
3,EPSE 317
1,LLED 360
3,LLED 361
3,EDST 401
3,EDST 403
3,EDST 404
1,EDUC 430
1,EDUC 440
1,EDUC 450
3,EDUC 451
3,EDUC 452
3,Total Credits
3,1  Students should consult with NITEP regarding course planning. All courses must be university-level.
151-162,3  Includes requirements for teachable subjects.
2  English must be completed in order to advance to fourth year.,"5  As per the summer term registration guide, published by Education."
4  Completes requirements for teachable subjects.,EDUC 143
,EDUC 244
Indigenous Education Specialization,EDUC 140/141/240*
2,EDUC 344
2,EDCP 326 d
3,LLED 336
2,Total Credits
3,* Or an approved Indigenous/First Nations Studies course. Course cannot have been used towards a previous degree.
3,
15,
