INFO,CREDIT
First Year,Second Year
Third Year,Fourth Year
APBI 200,3
ENGL 100-level or FRST 150,3
BIOL 111 and 1211,6
"CHEM 121 (100, 111) or PHYS 101 (100)2",4/3
ECON 101 or FRST 101,3
FRST 100,3
FRST 2323,3
MATH 100 or 102 or 104 or 1904,3
Electives,3
Total Credits,30/31
CONS 200,3
FOPR 264,4
FRST 200,3
FRST 201,3
FRST 210,3
FRST 211,3
FRST 231,3
FRST 239,3
Electives,6
Total Credits,31
"FRST 3505, 6 or FRST 3515, 6 immediately preceding third year",2
FRST 305,3
FRST 307,3
FRST 318,3
FRST 320,3
FRST 339,3
FRST 385,3
FRST 386,3
FRST 395,3
FRST 452,2
WOOD 461,3
Specialization-specific elective7,3
Total Credits,32
FRST 415,3
FRST 422,3
FRST 423,6
FRST 497,3
WOOD 365,3
Specialization-specific electives7,6
Electives,6
Total Credits,30
1 Students with Biology 12 should replace BIOL 111 with 3 credits of electives.,"2 CHEM 111 and PHYS 100 are intended for students without CHEM 12 and PHYS 12, respectively.  If students do not have Grade 12 level in both sciences, they are encouraged to select a science not taken at the Grade 12 level."
,"3 Students with strong computing skills, especially in the use of spreadsheets, can replace FRST 232 with 3 credits of electives, upon approval by the program director."
"4 Students may take MATH 180, 184, 190 (4 credits) or MATH 110 (6 credits) instead of MATH 100, 102, or 104 (3 credits), but the credit difference cannot be applied towards program elective requirements.",
5 Credit will be given for only one of FRST 350 or FRST 351.,
6 Students will be assigned to the most appropriate course based on their levels of forestry and field experience as determined by the course instructors.,
"7 Specialization-specific electives are to be chosen from: APBI 244/GEOB 204 (3); CONS 310 (3), 340 (3), 370 (3), 412 (3), 415 (3), 481 (3); FOPR 362 (3), FOPR 464 (3); FRST 302 (3), 370 (3), 403 (3), 404 (4), 427 (3), 439 (3), 443 (3), 491 (3); WOOD 492 (3).",
