INFO,CREDIT
First Year,Second Year
Third Year,Fourth Year
Fifth Year,Same as above
32,Same as above
30 +5,Plus WOOD 3001
3,WOOD 330
3,WOOD 335
3,WOOD 356
2,WOOD 373
3,WOOD 384
3,WOOD 386
3,Total Credits
17,WOOD 3111
3,WOOD 3121
3,COMM 204
3,COMR 457
3,WOOD 365
3,WOOD 440
3,WOOD 464
4,WOOD 482
4,WOOD 485
3,WOOD 487
3,WOOD 492
3,WOOD 494
3,Electives2
3-6,Total Credits
35-38,WOOD 4111
3,WOOD 461
3,WOOD 491
3,WOOD 499
6,Electives2
3-6,Total Credits
15-18,WOOD 4121
3,1 Co-operative work term.
2 Electives must be courses numbered 300 or above. To be chosen in consultation with the Program Director.,
