INFO,CREDIT
First Year,Second Year
Third Year,Fourth Year
"One of ENGL 110, 111, 112, or FRST 150",3
CHEM 121 (111),4
CHEM 123,4
MATH 100 or 102 or 104 (or MATH 180 or  184)1,3(4)
MATH 101 or 103 or 105,3
PHYS 101 (117)2,3
WOOD 120,3
Electives2,9
Total Credits,32(33)
ECON 101 or FRST 101,3
FRST 231,3
WOOD 225,3
WOOD 244,3
WOOD 245,3
WOOD 249,1
WOOD 276,3
WOOD 280,3
WOOD 282,3
WOOD 290,3
WOOD 292,2
Total Credits,30
WOOD 3053,3
WOOD 3534,2
COMM 204,3
WOOD 330,3
WOOD 335,3
WOOD 356,2
WOOD 365,3
WOOD 373,3
WOOD 384,3
WOOD 386,3
WOOD 464,4
WOOD 482,4
WOOD 487,3
Electives5,3
Total Credits,37
COMR 457,3
WOOD 440,3
WOOD 461,3
WOOD 485,3
WOOD 491,3
WOOD 492,3
WOOD 494,3
WOOD 499,6
Electives5,6
Total Credits,33
"1 Students may take MATH 180 or 184 (4 credits) or MATH 110 (6 credits) instead of MATH 100, 102, or 104 (3 credits), but the credit difference cannot be applied towards program elective requirements.",2 Students without Physics 12 must replace 3 credits of electives with PHYS 100 prior to taking PHYS 101 or PHYS 117.
,3 Practical woodworking course taken at the end of second year.
4 Six working days of on-site study of wood products manufacturing plants immediately before or after WOOD 305.,"5 Elective courses are chosen in consultation with the Program Director, and must be numbered 300 or higher."
,
