INFO,CREDIT
First Year,Second Year
Third Year,Fourth Year
Overall four-year total4,122
LFS 100,1
LFS 150 or ENGL 112,3
BIOL 112 & 121,6
BIOL 140,2
MATH 102 or equivalent1,3
"Restricted electives2,3",14
Unrestricted electives,3
Total Credits,32
ECON 101 or 102,3
LFS 250,6
LFS 252 (or FRST 231 or BIOL 300),3
APBI 200,3
APBI 260,6
Restricted electives3,6
Unrestricted electives,3
Total Credits,30
LFS 350,3
APBI 360 & 361,6
Restricted electives3,18
Unrestricted electives,3
Total Credits,30
LFS 450,3
APBI 460,3
Restricted electives3,21
Unrestricted electives,3
Total Credits,30
1 Students who have not completed Calculus 12 must take MATH 180 or 184 to fulfill their first year MATH requirement.,
2 Some students may be advised to take first year Chemistry and/or Physics courses depending on their academic plans and interests. They should consult with an FENV advisor.,
"3 To be selected in consultation with a program advisor. Typically includes courses in APBI, BIOL and FNH. For suggested courses see the Faculty",
4 A minimum of 45 credits of the 123 credits required for the Major must be from courses numbered 300 or higher.,
