INFO,CREDIT
First Year,Second Year
Third Year,Fourth Year
Overall four-year total credits8,124
LFS 100,1
LFS 150 or ENGL 112 or WRDS 150,3
BIOL 112,3
BIOL 121,3
BIOL 1551,6
CHEM 121 (or 111)2,4
CHEM 123 (or 113),4
MATH 102 or equivalent3,3
MATH 103,3
PHYS 1014,3
Total Credits,33
LFS 250,6
LFS 2525,3
FNH 200,3
FNH 250,3
CHEM 233,3
CHEM 235,1
CHEM 205,3
BIOL 200,3
BIOL  2016,3
BIOL 234,3
Total Credits,31
LFS 350,3
BIOC 302,3
FNH 350,3
FNH 351,3
FNH 370,3
FNH 371,3
FNH 398,3
MICB 202,3
Unrestricted electives,3
Restricted electives7,3
Total Credits,30
FNH 451,3
FNH 477,3
"One of ECON 101, ECON 310 or LFS 101",3
Unrestricted electives,12
Restricted electives7,9
Total Credits,30
"1 Equivalent courses include BIOL 153, CAPS 301",2 CHEM 111 is not for students with Chemistry 12.
3 Students who have not completed Calculus 12 should take MATH 180 or 184 to fulfill their first-year MATH requirement.,4 Equivalent courses include PHYS 107 or 117. Students without credit for Physics 12 must take PHYS 100 before taking other 100-level PHYS courses.
"5 Equivalent courses include BIOL 300, EPSE 482, FRST 231, STAT 200","6 Equivalent courses include BIOL 201, BIOC 202, BIOC 203"
7 For suggested course see the list posted on the Faculty website,8 A minimum of 45 credits required for the Major must be for courses numbered 300 or higher.
,
