INFO,CREDIT
Program,Specific Courses Required for Promotion to Year Three
Specific Upper-Level Courses Required for Promotion to Year Four,ASTRONOMY
ATMOSPHERIC SCIENCE,BEHAVIOURAL NEUROSCIENCE
BIOCHEMISTRY,BIOLOGY
CELLULAR AND PHYSIOLOGICAL SCIENCES,CHEMISTRY
COMBINED MAJOR IN SCIENCE,COMPUTER SCIENCE
EARTH AND OCEAN SCIENCES,ENVIRONMENTAL SCIENCES
GENERAL SCIENCE,GEOGRAPHY
GEOLOGICAL SCIENCES,GEOPHYSICS
MATHEMATICS,MICROBIOLOGY AND IMMUNOLOGY
OCEANOGRAPHY,PHARMACOLOGY
PHYSICS,PSYCHOLOGY
STATISTICS,Major (0030): Astronomy
,No specific courses.
No specific courses.,Major (0167): Atmospheric Science
,"One of ATSC 201, GEOB 200"
No specific courses.,Honours (0429): Atmospheric Science
,ATSC 201
No specific courses.,Combined Honours (1372): Atmospheric Science and Computer Science
,No specific courses.
No specific courses.,Major (3502): Behavioural Neuroscience
,No specific courses
PSYC 366,Honours (3503): Behavioural Neuroscience
,No specific courses
PSYC 366,Major Cognitive Systems (1225): Cognition and Brain
,COGS 200
No specific courses,Major (0244): Biochemistry
,"BIOL 200, BIOC 203, CHEM 203, CHEM 213, CHEM 245"
"BIOC 301, BIOC 303, BIOC 304",Combined Major (3382): Biochemistry and Chemistry
,"BIOL 200, BIOC 203, CHEM 203, CHEM 213, CHEM 245"
"BIOC 301, BIOC 303, BIOC 304",Honours (0186): Biochemistry
,"BIOL 200, BIOC 203, CHEM 203, CHEM 213, CHEM 245"
"BIOC 301, BIOC 303, BIOC 304",Combined Honours (0565): Biochemistry and Chemistry
,"BIOL 200, BIOC 203, CHEM 203, CHEM 211, CHEM 213, CHEM 245"
"BIOC 301, BIOC 303, BIOC 304, CHEM 313 or CHEM 330",Honours (0054): Animal Biology
,"CHEM 233 and three of BIOL 200, BIOL 230, BIOL 233 or BIOL 234, BIOL 260, and one of BIOL 204, BIOL 205"
BIOL 300,Major (3095): Biology
,"CHEM 233 and three of BIOL 200, BIOL 230, BIOL 233 or BIOL 234, BIOL 260, and one of BIOL 203, BIOL 204, BIOL 205, BIOL 209, BIOL 210, MICB 201"
BIOL 300,Honours (3195): Biology
,"CHEM 233 and three of BIOL 200, BIOL 230, BIOL 233 or BIOL 234, BIOL 260, and one of BIOL 203, BIOL 204, BIOL 205, BIOL 209, BIOL 210, MICB 201"
BIOL 300,Honours (0405): Cell and Developmental Biology
,"BIOL 200, CHEM 233 and two of BIOL 201, BIOL 230, BIOL 233 or BIOL 234, BIOL 260, and one of BIOL 203, BIOL 204, BIOL 205, BIOL 209, BIOL 210, MICB 201"
BIOL 300,Combined Major (1370): Computer Science and Biology
,"BIOL 200, BIOL 233 or BIOL 234, CHEM 233"
BIOL 300,Honours (0583): Conservation Biology
,"CHEM 233 and three of BIOL 200, BIOL 230, BIOL 233 or BIOL 234, BIOL 260, and one of BIOL 204, BIOL 205, BIOL 209, BIOL 210, BIOL 320, BIOL 321, BIOL 324"
BIOL 300,Honours (0045): Ecology
,"CHEM 233 and three of BIOL 200, BIOL 230, BIOL 233 or BIOL 234, BIOL 260, and one of BIOL 204, BIOL 205, BIOL 209, BIOL 210, MICB 201"
BIOL 300,Honours (0983): Evolutionary Biology
,"CHEM 233 and three of BIOL 200, BIOL 230, BIOL 233 or BIOL 234, BIOL 260, and one of BIOL 203, BIOL 204, BIOL 205, BIOL 209, BIOL 210, MICB 201"
BIOL 300,Honours (0518): Marine Biology
,"CHEM 233 and three of BIOL 200, BIOL 230, BIOL 233 or BIOL 234, BIOL 260, and one of BIOL 205, BIOL 209"
BIOL 300,Honours (0372): Plant Biology
,"CHEM 233 and three of BIOL 200, BIOL 230, BIOL 233 or BIOL 234, BIOL 260, and one of BIOL 209, BIOL 210"
BIOL 300,Combined Honours (1460): Computer Science and Biology
,"BIOL 200, BIOL 233 or BIOL 234, CHEM 233"
No specific courses.,"Honours (3221): Cellular, Anatomical and Physiological Sciences"
,"BIOL 200, BIOL 201, CHEM 205, CHEM 211, CHEM 233, CHEM 235, MICB 202"
"BIOC 301, BIOC 302, BIOL 300, CAPS 301, CAPS 303",Major (0409): Chemistry
,No specific courses.
No specific courses.,Honours (0213): Chemistry
,No specific courses.
No specific courses.,Combined Major (3340): Chemical Biology
,No specific courses.
No specific courses.,Combined Honours (3132): Chemical Biology
,No specific courses.
No specific courses.,Combined Honours (0206): Chemistry and Mathematics
,MATH 220 or 68% or higher in MATH 226
No specific courses.,Combined Major (3096): Science
,No specific courses.
STAT 200 and SCIE 300,Major (0376): Computer Science
,No specific courses.
No specific courses.,Honours (0154): Computer Science
,No specific courses.
No specific courses.,"Combined Major (3401): Computer Science and Chemistry (CPSC, CHEM)"
,No specific courses.
No specific courses.,Combined Major (1391): Computer Science and Physics
,No specific courses.
No specific courses.,Combined Major (1375): Computer Science and Statistics
,No specific courses.
No specific courses.,Combined Honours (0021): Computer Science and Mathematics
,MATH 220 or 68% or higher  in MATH 226
No specific courses.,Combined Honours (0138): Computer Science and Physics
,No specific courses.
No specific courses.,Combined Honours (1376): Computer Science and Statistics
,STAT 200
No specific courses.,Major (1200): Computer Science and Software Engineering
,No specific courses.
No specific courses.,Honours (1201): Computer Science and Software Engineering
,No specific courses.
No specific courses.,Major Cognitive Systems (1226): Computational Intelligence and Design
,COGS 200
No specific courses.,Major (1223): Earth and Ocean Sciences
,"6 credits of ATSC, ENVR, or EOSC numbered 200 or above"
"12 credits of ATSC, ENVR, or EOSC numbered 300 or above",Major (1263): Environmental Sciences
,ENVR 200
ENVR 300,Honours (0589): Environmental Sciences
,ENVR 200
ENVR 300,General Science (CHEM 0081 or ERSC 0225 or LFSC 0440 or MASC 0029 or PHYS 0271)
,No specific courses.
No specific courses.,Major (3068): Geographical Biogeosciences
,"Two of GEOB 200 (or GEOB 204), GEOB 206 (or EOSC 222), GEOB 207 (or BIOL 230)"
,Major (3428): Geographical Sciences
,"Two of GEOB 200 (or GEOB 204), GEOB 206 (or EOSC 222), GEOB 207 (or BIOL 230)"
,Combined Honours (2278): Geographical Biogeosciences and Geology
,"EOSC 220, EOSC 221, GEOB 200, GEOB 206"
No specific courses.,Major (3193): Geology
,"Three of (EOSC 220, EOSC 221, EOSC 222, EOSC 223)"
No specific courses.,Honours (0462): Geological Sciences
,"Three of (EOSC 220, EOSC 221, EOSC 222, EOSC 223)"
No specific courses.,Major (0001): Geophysics
,No specific courses.
No specific courses.,Honours (0380): Geophysics
,No specific courses.
No specific courses.,Major (0456): Mathematics
,MATH 220 or 68% or higher in MATH 226
No specific courses.,Major (0185): Mathematical Sciences
,MATH 220 or 68% or higher in MATH 226
No specific courses.,Major (1135): Mathematics and Economics
,MATH 220 or 68% or higher in MATH 226
No specific courses.,Combined Major (1429): Computer Science and Mathematics
,MATH 220 or 68% or higher in MATH 226
No specific courses.,Honours (0166): Mathematics
,MATH 220 or 68% or higher in MATH 226
No specific courses.,Major (1153): Microbiology and Immunology
,"BIOL 200, MICB 202"
"MICB 302, MICB 322, MICB 301",Honours (1154): Microbiology and Immunology
,"BIOL 200, MICB 202"
"MICB 302, MICB 322, MICB 301",Combined Major (1371): Computer Science and Microbiology and Immunology
,"BIOL 200, MICB 202"
MICB 301 or MICB 302,Combined Honours (1373): Computer Science and Microbiology and Immunology
,"BIOL 200, MICB 202"
MICB 301 or MICB 302,Combined Major (3144): Microbiology and Oceanography
,"BIOL 200, MICB 201"
"MICB 301, MICB 322, EOSC 372",Combined Major (3125): Oceanography and Biology
,"CHEM 233 and three of BIOL 200, BIOL 230, BIOL 233 or BIOL 234, BIOL 260"
No specific courses.,Combined Major (3383): Oceanography and Chemistry
,No specific courses
No specific courses,Combined Major (3126): Oceanography and Physics
,No specific courses.
No specific courses.,Honours (0577): Fisheries Oceanography
,No specific courses.
No specific courses.,Combined Honours (0535): Oceanography and Biology
,"CHEM 233 and three of BIOL 200, BIOL 230, BIOL 233 or BIOL 234, BIOL 260"
No specific courses.,Major (0311): Pharmacology
,"BIOL 200, BIOL 201, one of CHEM 201 or CHEM 205, CHEM 211, CHEM 233, CHEM 235, MICB 202, one of BIOL 300 or STAT 200"
"BIOC 301, PCTH 300, PCTH 302",Honours (0019): Pharmacology
,"BIOL 200, BIOL 201, one of CHEM 201 or CHEM 205, CHEM 211, CHEM 233, CHEM 235, MICB 202, one of BIOL 300 or STAT 200"
"BIOC 301, BIOC 303, PCTH 300, PCTH 302",Major (0524): Physics
,No specific courses.
No specific courses.,Honours (0344): Physics
,No specific courses.
No specific courses.,Honours (1093): Biophysics
,No specific courses.
No specific courses.,Combined Honours (3676 ): Biophysics
,
,No specific courses.
No specific courses.,Combined Honours (0009): Physics and Astronomy
,No specific courses.
No specific courses.,Combined Honours (0517): Chemical Physics
,No specific courses.
No specific courses.,Combined Honours (0014): Physics and Mathematics
,MATH 220 or 68% or higher in MATH 226
No specific courses.,Major (0495): Psychology
,No specific courses.
PSYC 366,Honours (0139): Psychology
,No specific courses.
PSYC 366,Major Cognitive Systems (1225): Cognition and Brain
,COGS 200
No specific courses.,Major (0562): Statistics
,STAT 200
"STAT 305, STAT 306",Combined Major (1330): Statistics and Economics
,"One of ECON 301 or ECON 304, one of ECON 302 or ECON 305, one of STAT 200 or ECON 325"
"STAT 305; and one of ECON 326, STAT 306",Honours (0051): Statistics
,STAT 200
"STAT 305, STAT 306",Combined Honours (0550): Mathematics and Statistics
,"MATH 220 or 68% or higher in MATH 226, and STAT 200"
"STAT 305, STAT 306",
