INFO,CREDIT
First Year,Second Year
Third and Fourth Years,"BIOL 121, 1401"
5,CHEM 121 (or 111)2
4,CHEM 123
4,Communication Requirement3
6,MATH 100 or 102 or 104 (180 or 184 or 120)4
3,MATH 101 or 103 or 105 (or 121)4
3,PHYS 100-level5
3,"Electives6,7"
2,Total Credits
30,BIOL 230
3,"Two of CHEM  205 (or 201), 208 (or 202), 211, 2338"
6,ENVR 200
3,GEOB 200 or ATSC 201
3,MATH 200
3,STAT 200 or BIOL 3009
3,"Electives6,7,8,10"
9,Total Credits
30,BIOL 306
3,"ENVR 300, 400"
9,EOSC 372
3,"One of ENVR 410, 420, 430, 440"
3,'Tools' Elective11
3,"Electives6,7"
24,Area of Concentration12
15,Total Credits
60,Minimum Credits for Degree
120,1 Students without one of Biology 11 or Biology 12 must take BIOL 111 before attempting BIOL 121 or BIOL 140.
2 Students who do not have B.C. High School Chemistry 12 (or its equivalent) must write the UBC Chemistry Basic Skills Test and may be required to take CHEM 100.,"3 For a full list of acceptable courses, see Communication Requirement."
4 MATH 110 may substitute for any of the specified differential calculus courses listed by decreasing the electives by 3 credits. Choosing a 4 credit MATH course lowers the electives by 1 credit. All of the differential calculus courses are suitable prerequisites for later MATH courses. They differ in the expected student background and the types of examples used in the problems.,"5 Chosen from 100-level PHYS courses, excluding PHYS 100. Students without Physics 12 must replace 3 credits of electives with PHYS 100 before taking any other 100-level PHYS course. Students may defer taking any other 100-level PHYS course to second year."
6 Elective credits together with required courses must fulfill the Faculty of Science’s: a) Foundational Requirement; b) Laboratory Science Requirement; c) Science Breadth Requirement;  d) Science and Arts Requirements;  e) Upper-level Requirement;  f) General Degree Requirements.,"7 Students interested in elective options in environmental, social and economic aspects of sustainability see: www.sustain.ubc.ca/courses-degrees/courses."
8 Students who select 7 credits of second-year CHEM will need to lower the total number of electives accordingly.,9 Students should consider which statistics course will fulfill prerequisites for upper-level courses they intend to take. STAT 200 does not fulfill an upper-level credit requirement.
"10 Students interested in the Ecology and Conservation Area of Concentration should consider one of BIOL 204, 205, 209 or 210 in second year.","11 ‘Tools’ Elective: One of ATSC 303, CHEM 311 (requires CHEM 211), CONS 340, CPSC 301, EOSC 211, FRST 443, GEOB 270, GEOB 309, GEOB 370, GEOB 373, or ISCI 422. Must be completed before fourth year."
,"12 Of the 15 Area of Concentration credits, at least 12 must be at the 3xx level or higher, including no fewer than 6 credits at the 4xx level."
,Second Year
First Year,"BIOL 121, 1401"
Third and Fourth Years,CHEM 121 (or 111)2
5,CHEM 123
4,Communication Requirement3
4,MATH 100 or 102 or 104 or  (180 or 184 or 120)4
6,MATH 101 or 103 or 105 (or 121)4
3,PHYS 100-level5
3,"Electives6,7"
3,Total Credits
5,APBI 200
33,ATSC 201
3,"BIOL 230, 306"
3,"Two of CHEM 205 (or 201), 208 (or 202), 211, 2338"
6,ENVR 200
6,MATH 200
3,STAT 200 or BIOL 3009
3,"Electives6,7,8,10"
3,Total Credits
6,"CHEM 301, 302"
33,"ENVR 300, 449"
6,"EOSC 372, 373"
9,"Two of ENVR 410, 420, 430, 440"
6,'Tools' Electives11
6,"Electives6,7"
6,Area of Concentration12
15,Total Credits
18,Minimum Credits for Degree
66,1 Students without one of Biology 11 or Biology 12 must take BIOL 111 before attempting BIOL 121 or BIOL 140.
132,
2 Students who do not have B.C. High School Chemistry 12 (or its equivalent) must write the UBC Chemistry Basic Skills Test and may be required to take CHEM 100.,4 MATH 110 may substitute for any of the specified differential calculus courses listed by decreasing the electives by 3 credits.  Choosing a 4-credit MATH course lowers the electives by 1 credit.  All of the differential calculus courses are suitable prerequisites for later MATH courses. They differ in the expected student background and the types of examples used in the problems.
"3 For a full list of acceptable courses, see Communication Requirement.",6 Elective credits together with required courses must fulfill the Faculty of Science’s: a) Foundational Requirement; b) Laboratory Science Requirement; c) Science Breadth Requirement;  d) Science and Arts Requirements;  e) Upper-level Requirement;  f) General Degree Requirements.
"5/sup>Chosen from 100-level PHYS courses, excluding PHYS 100. Students without Physics 12 must replace 3 credits of electives with PHYS 100 before taking any other 100-level PHYS course. Students may defer taking any other 100-level PHYS course to second year.","7 Students interested in elective options in environmental, social and economic aspects of sustainability see: www.sustain.ubc.ca/courses-degrees/courses"
,8 Students who select 7 credits of second-year CHEM will need to lower the total number of electives accordingly.
,"10 Students interested in the Ecology and Conservation Area of Concentration should consider one of BIOL 204, 205, 209 or 210 in second year."
9 Students should consider which statistics course will fulfill prerequisites for upper-level courses they intend to take. STAT 200 does not fulfill an upper-level credit requirement.,"12 Of the 18 Area of Concentration credits, at least 15 must be at the 3xx level or higher, including no fewer than 9 credits at the 4xx level."
"11 'Tools’ Electives: Two of ATSC 303, CHEM 311 (requires CHEM 211), CONS 340, CPSC 301, EOSC 211, FRST 443, GEOB 270, GEOB 309, GEOB 370, GEOB 373 or ISCI 422. Consult credit exclusion list before choosing 'Tools' electives. Must be completed before fourth year.",
