INFO,CREDIT
First Year,Second Year
Third and Fourth Year,ENGL 112
3,KIN 110
3,KIN 120
3,KIN 131
3,KIN 132
3,KIN 150
3,KIN 160
3,"Electives1,2,3,4"
9,Total Credits
30,KIN 205
3,KIN 206
3,KIN 211
3,KIN 216
3,KIN 232
3,KIN 235
3,KIN 262
3,"Electives1,2,3,4"
9,Total Credits
30,"Select 7 from KIN 341, 342, 344, 345, 355, 360,  363, 364, 368, 442, 444, 459, 460, 464, 465, 466,  467"
21,KIN Electives5
15,"Electives1,2,3,4"
24,Total Credits
60,1 KIN or non-KIN courses that the student may elect to take.
"2 Students interested in KIN 341, 342, or 444 should take KIN 140 as an elective in either year 1 or 2.",3 Students planning to apply to postgraduate programs are strongly encouraged to determine the necessary undergraduate requirements that are available in other faculties such as Science and Arts.
4 Students planning to enter the Teacher Education Program in the Faculty of Education need to review the detailed admission requirements. Students planning to apply for the secondary option are advised to prepare a second teaching field.,5 KIN courses at the 300/400-level that the student may elect to take.
,
