INFO,CREDIT
PIANO,"Core B.Mus. Requirements in Music History, Musicianship, Music Theory, and Music Technology (34 credits)"
Music Performance (28 credits),Ensembles (5-8 credits)
Additional Requirements (28 credits),Music Elective
Other Course Requirements,TOTAL CREDITS
122-125,Program requirements for the Bachelor of Music in Piano include:
"For specific requirements, see Bachelor of Music, Degree Requirements.",MUSC 193
6,MUSC 293
6,MUSC 394
8,MUSC 494
8,Large ensembles
3-4,Small or large ensembles
2-4,MUSC 136
4,MUSC 149
2,MUSC 161
2,MUSC 161
4,MUSC 167
2,MUSC 236
4,MUSC 249
2,MUSC 340
3,MUSC 349
2,MUSC 440
3,Music elective
3,One additional small or large ensemble may be taken as a music elective. MUSC 169 may be taken with faculty member approval.
Writing Requirement (WRDS 150 or ENGL 100),3
Literature Requirement,3
Non-Music Electives,18
