INFO,CREDIT
Media and Popular Cultures Course List,Global Cultural Studies Course List
Critical and Cultural Theory Course List,Other Cultural Studies Courses
CULT 300 Documentary and Docudrama (ENGL 378),CULT 305 English-Canadian Screen Culture (ENGL 377)
CULT 309 Advanced Practice in Printmaking (VISA 336),CULT 310 Advanced Photography (VISA 362)
CULT 311 Advanced Media Communications (VISA 382),CULT 312 Internet Culture
CULT 315 Television Studies (ENGL 376),"CULT 320 Creative Activism: Art, Media, and Social Justice (ARTH 323)"
CULT 325 Media and the Politics of Identity,CULT 400 Topics in Popular Culture (ENGL 493)
CULT 401 Topics in Media Studies,CULT 405 Reading Gothic Film (ENGL 455)
CULT 410 Asian Cinema,CULT 480 Performance Studies (THRT 411)
"CULT 485 Masculinities, Media, and Performance",VISA 371 Digital Documentary Production
ANTH 355 Ethnography of Development,ANTH 473 Endangered Languages
ARTH 302 Global Contemporary Art,"ARTH 410 Gender, Art, and Space in the Islamic World"
CULT 340 Postcolonial Literary and Cultural Studies (ENGL 379),"CULT 341 Globalization, Literature, and Culture (ENGL 341)"
CULT 345 Studies in Backgrounds to International Literature in English (ENGL 345),"CULT 346 Human Rights, Literature, and Culture (ENGL 384)"
CULT 350 Indigenous Literature: Intellectual Traditions (ENGL 387),"CULT 351 Settler Studies, Literature, and Culture (ENGL 385)"
CULT 364 Modern Japanese Literature in Translation (JPST 364),CULT 366 Modern Japanese Women Writers in Translation (JPST 366)
CULT 435 African Studies (ENGL 435),CULT 437 Postcolonial Studies (ENGL 437)
CULT 445 Studies in International Literature in English (ENGL 480),CULT 450 Studies in Indigenous Literature and Criticism (ENGL 473)
GERM 303 Topics in German Studies (in English),FREN 420 Selected Topics in French Literature and Culture (in French)
HIST 352 Class and Culture in Latin America,INDG 302 Indigenous Governance
INDG 304 Pre-field Methods,INDG 306 Indigenous Land Claims
"INDG 308 Indigenous Culture, Heritage, and Intellectual Property",INDG 310 Gender Nation State Resistance
"INDG 420 Indigenous Perspectives on Food, Place, Identity, and Biodiversity",INDG 440 Residential Schools and Reconciliation
INDG 450 Women Feminisms Activisms,PHIL 437 Philosophy and the Global State
SOCI 301 Sociology of Development and Underdevelopment,SOCI 430 Labour in a Global Economy
SOCI 467 Social Movements,ARTH 301 Critical Viewing - Advanced Studies
ANTH 300 Contemporary Theory in Anthropology,ANTH 377 Sociolinguistics
CULT 371 Modern Critical Theory and Interdisciplinary Methods (ENGL 309),CULT 375 Auto/Biography Survey (ENGL 342)
CULT 470 Interdisciplinary Studies in Critical Theory (ENGL 412),CULT 475 Topics in Auto/Biography (ENGL 456)
CULT 460 Posthumanism and Critical Animal Studies (ENGL 457),FREN 435 Critical Approaches to French Studies
"GEOG 358 Gender, Place, and Culture","GEOG 359 Culture, Space, and Politics"
GEOG 480 Advanced Seminar in Critical Geography,GWST 333 Perspectives on Gendered Bodies
GWST 335 Gender and Women's Studies in Humanities,GWST 336 Feminist Cultural Studies
INDG 301 Examining Indigenous Methodology: En'owkinwixw,INDG 303 Indigenous Studies Theory and Methodology
INDG 305 Indigenous Justice,INDG 307 Traditional Ecological Knowledge
SOCI 303 Ethnic and Racial Inequality,SOCI 313 Advanced Studies in Sociology of Gender
SOCI 320 Cultural Studies in Sociology,SOCI 371 Deviance and Social Control
SOCI 415 Feminist Theory,CULT 490 Topics in Cultural Studies
CULT 495 Directed Studies,CULT 499  Community-Engaged Research in Cultural Studies
