INFO,CREDIT
First and Second Years1,Credits
"Two of EESC 101, 111, 121",6
"Two of BIOL 116, 125, COSC 101, 111, 114, 121",6
CHEM 111 or CHEM 121; and CHEM 113 or CHEM 123,6
"MATH 100, 101",6
PHYS 111 or 112,3
"PHYS 102, 121 or 122",3
"ENGL 109, or two of 112, 113, 114, 150, 151, 153, 154, 155, or 156",6
STAT 230 or equivalent course (e.g. BIOL 202; GEOG 271; PSYO 271; SOCI 271),3
At least three 200-level EESC courses,9
Science Electives (200-level)3,6
Non-Science electives,6
Total Credits,60
Third and Fourth Years1,Credits
Any six EESC 300- and 400-level courses3,18
Two EESC or GISC 300 or 400-level courses,6
Upper-level Science electives4,12
"Non-Science electives5,6",6
Electives6,18
Minimum total credits for degree,120
