INFO,CREDIT
First and Second Years,Credits
"ECON 101, 102",6
"MATH 100, 101",6
CHEM 111 or CHEM 121; and CHEM 113 or CHEM 123,6
PHYS 111 or 112,3
"PHYS 102, 121 or 122",3
"ENGL 109, or two of ENGL 112, 113, 114, 150, 151, 153, 154, 155, or 156",6
"Two of ASTR 110, 120, 111, 121; BIOL 116, 125; COSC 111, 121, 122, 123; EESC 111, 121; GEOG 108, 109",6
"ECON 204, 205",6
"MATH 200, 221",6
"One of MATH 220, 225",3
STAT 230,3
Electives1,6
Total Credits,60
Third and Fourth Years,
"ECON 327, 328",6
"Four of ECON 320, 427; MATH 303, 307, 317, 319, 327, 339, 340, 409, 441; STAT 303, 401; DATA 301,311, 410",12
ECON courses numbered 300 or higher2,18
ECON courses at any level1,6
Electives1,18
Total Credits,60
Minimum credits for degree,120
