INFO,CREDIT
First Year,Credits
"BIOL 116, 125",6
CHEM 111 or CHEM 121; and CHEM 113 or CHEM 123,6
"EESC 101, 111",6
"MATH 100, 101",6
PHYS 111 or 112,3
"PHYS 102, 121 or 122",3
Total Credits,30
Second Year,
BIOL 201,3
"BIOL 202, STAT 230, or equivalent course (e.g.: GEOG 271; PSYO 271; SOCI 271)",3
CHEM 201,3
CHEM 211,3
"EESC 205, 222",6
"ENGL 109, or two of 112, 113, 114, 150, 151, 153, 154, 155, or 156",6
Non-science electives,6
Total Credits,30
Third and Fourth Years,
"BIOL 308, 3751",6
CHEM 301,3
EESC 212,3
EESC 301,3
EESC 402,3
"One of EESC 305, 342, 413, 435",3
"Two of EESC 309, EESC 323, EESC 423",6
"One of EESC 313, EESC 314, EESC 315, GEOG 310, GEOG 314",3
Upper-level Science electives,9
Non-Science electives2,6
Electives2,15
Total Credits,60
Minimum Credits for Degree,120
