INFO,CREDIT
First Year,Credits
"BIOL 116, 1251",6
CHEM 111 or CHEM 121; and CHEM 113 or CHEM 123,6
"ENGL 109, or two of ENGL 1122, 113, 114, 150, 151, 153, 154, 155, or 156",6
"MATH 100, 1011",6
PHYS 111 or 112,3
"PHYS 102, 121 or 122",3
Total credits,30
Second Year,
"BIOL 200, 201",6
"BIOL 202, 265",6
"One of BIOL 204, 205, 209, 210",3
BIOL 228,3
"CHEM 203, 204; or CHEM 213, 2142",6
Electives,6
Total Credits,30
Third and Fourth Years,
BIOL 311,3
"One of BIOL 354, BIOL 382",3
BIOL 393,3
"Microbiology electives from the following: a) strongly recommended electives: BIOL 318, 319, 354 or 382, 366, or BIOC 494 or 4954; b) other electives: BIOL 312, 314, 380, 381, 410, 4203, 4523, 480",21
Science electives numbered 300 or higher,6
Other electives numbered 300 or higher,6
Electives to satisfy B.Sc. credit requirements,18
Total credits,60
Mimimum credits for degree,120
