INFO,CREDIT
First Year,Credits
Second  Year,
Third Year,
Fourth Year,
ENGL 112,3
INDG 102,3
SUST 100,3
SUST 104,3
ECON 101,3
EESC 111,3
GEOG 109,3
GEOG 129,3
MATH 100,3
Electives,3
Total Credits (minimum),30
BIOL 202,3
SUST 200,3
SUST 201,3
SUST 202,1
SUST 204,3
SUST 205,3
EESC 213,3
GEOG 272,3
Electives,9
Total Credits (minimum),31
SUST 300,3
SUST 301,3
SUST 302,1
EESC/GEOG 314,3
EESC 315,3
GISC 380,3
GISC 381,3
Electives,12
Total Credits (minimum),31
SUST 400,6
SUST 402,1
EESC 402,3
EESC 444,3
EESC 456,3
Electives,15
Total Credits (minimum),31
Overall Total Credits (minimum),123
