INFO,CREDIT
First Year,Credits
Second Year,
CHEM 111 or CHEM 121; and CHEM 113 or CHEM 123,6
"MATH 100, 101",6
"ENGL 109, or two of ENGL 112, 113, 114, 150, 151, 153, 154, 155, or 156",6
PHYS 111 or 112,3
"PHYS 102, 121 or 122",3
Electives,6
Total Credits,30
"CHEM 201, 220",6
"CHEM 203, 204",6
CHEM 211,3
MATH 200,3
Science electives,6
Arts electives,6
Total Credits,30
Third and Fourth Years,
Analytical: CHEM 311,3
Biochemistry: BIOC 304,3
"Inorganic: two of CHEM 335, 336, 337, 338",6
"Organic: two of CHEM 317, 330, 333, 403",6
"Physical: CHEM 304, 3121",6
"Two of CHEM 461, 462, 463, 464, 465",6
Upper-level Chemistry electives,6
Upper-level electives,6
Arts electives,6
Electives2,12
Total Credits,60
Minimum credits for degree,120
