INFO,CREDIT
First Year,Credits
CHEM 111 or 121; and CHEM 113 or 123,6
"MATH 100, 101",6
"ENGL 109, or two of ENGL 112, 113, 114, 150, 151, 153, 154, 155, or 156",6
PHYS 111 or 112,3
"PHYS 102, 121 or 122",3
"COSC 111, 121",6
Total Credits,30
Second Year,
"MATH 200, 2211",6
STAT 230,3
"COSC 221, 222",6
Arts electives,6
Electives,9
Total Credits,30
Third and Fourth Years,
"COSC 304, 322, 360, 407",12
"DATA 301, 311, 410",9
PHIL 331,3
STAT 303,3
"Three of COSC 303, DATA 405, MATH 307, STAT 401, 403",9
"One of DATA 421, 407, PHYS 420",3
"Two of BIOL 308, 414, 444, 460, 468, ECON 327, 328, 427, EESC 342, 413, GISC 380, 381, PHYS 331, 441, PSYO 372, 443",6
Science electives,9
Arts electives,3
Electives,3
Total Credits,60
Minimum credits for degree,120
