INFO,CREDIT
First Year,Credits
"BIOL 116, 1251",6
CHEM 111 or CHEM 121; and CHEM 113 or CHEM 123,6
"ENGL 109, or two of ENGL 1122, 113, 114, 150, 151, 153, 154, 155, or 156",6
"MATH 100, 1011",6
PHYS 111 or 112,3
"PHYS 102, 121 or 122",3
Total credits,30
Second Year,
"BIOL 200, 201",6
"BIOL 202, 265",6
"Two of BIOL 204, 205, 209, 210, 228",6
"CHEM 203, 204; or CHEM 213, 2142",6
Electives,6
Total credits,30
Third and Fourth Years,
BIOL 308,3
BIOL 311,3
BIOL 354,3
"Ecology and Evolution electives from the following courses: BIOL 301, 306, 307, 309, 313, 357, 358, 364, 370, 371, 372, 375, 381, 401, 410, 414, 417, 4203, 422, 4523, 459, 460, 468, GEOG 307, GISC 380, 381",21
Science electives numbered 300 or higher,6
Other electives numbered 300 or higher,6
Electives to satisfy B.Sc. credit requirements,18
Total credits,60
Minimum credits for degree,120
