INFO,CREDIT
First Year,Credits
Term One,
Term Two,
Second Year,
Term One,
Term Two,
Third Year,
Term One,
Term Two,
Fourth Year,
Term One,
Offered Twice:,
"1. Summer Session, Term 1 & 2 (Cohort 1)2. Winter Session, Term 1 (Cohort 2)",
Term Two2,
Offered Twice:,
1. Winter Session Term 1 (Cohort 1)2. Winter Session Term 2 (Cohort 2),
HINT 110 Applied Research in Health,3
NRSG 111 Foundations of Health,3
NRSG 112 Introduction to the Profession of Nursing I,1.5
NRSG 113 Relational Practice I,1.5
BIOL 131 Human Anatomy and Physiology I1,3
"One of ENGL 112 or 114, 113, 150, 151, 1531",3
NRSG 101 Nursing Lab Practice I,2
NRSG 120 Introduction to Nursing Research,3
NRSG 122 Introduction to the Profession of Nursing II,1.5
NRSG 123 Relational Practice II,1.5
NRSG 126 Health and Healing I,3
NRSG 136 Nursing Practice I,3
BIOL 133 Human Anatomy and Physiology II1,3
,
NRSG 201 Nursing Lab Practice II,2
NRSG 210 Pharmacology for Nursing I,1.5
NRSG 213 Relational Practice III,1.5
NRSG 226 Health & Healing II,1.5
NRSG 236 Nursing Practice with Acute care Patients I,3
One of NRSG 228 Community Health or NRSG 229 Mental Health,1.5
One of NRSG 238 Nursing Practice in Community NRSG 239 Nursing Practice in Mental Health,3
HINT 231 Pathophysiology for Health Sciences1,3
NRSG 202 Nursing Lab Practice III,2
NRSG 220 Pharmacology for Nursing II,1.5
NRSG 223 Relational Practice IV,1.5
NRSG 227 Health & Healing III,1.5
NRSG 237 Nursing Practice III,3
One of NRSG 228 Community Health or NRSG 229 Mental Health,1.5
One of NRSG 238 Nursing Practice in Community NRSG 239 Nursing Practice in Mental Health,3
BIOL 232 Human Infectious Disease1,3
,
NRSG 301 Nursing Lab Practice IV,1
NRSG 310 Palliative Approach to Care,3
NRSG 326 Health & Healing IV,1.5
NRSG 336 Nursing Practice with Medical Patients,4
One of NRSG 328 Newborn Family Health or NRSG 329 Child health,1.5
One of NRSG 338 Nursing Practice in Newborn Family Health or NRSG 339 Nursing Practice in Child Health,2
HINT 331 Nutrition for Health Sciences,3
NRSG 302 Nursing Lab Practice V,1
NRSG 313 Relational Practice V,3
NRSG 320 Global Health,3
NRSG 327 Health & Healing V,1.5
NRSG 337 Nursing Practice with Surgical Patients,4
One of NRSG 328 Newborn Family Health or NRSG 329 Child health,1.5
One of NRSG 338 Nursing Practice in Newborn Family Health or NRSG 339 Nursing Practice in Child Health,2
,
NRSG 421 Capstone NCLEX Preparation,3
NRSG 422 Leadership,3
NRSG 432 Capstone Project,4
Elective1,3
Nursing Electives3,3
NRSG 431 Capstone Acute Care Preceptorship,8
Nursing Preceptorship Electives4,8
1 May be taken before entering the Nursing program.,"2 To support clinical placements in Year 4, students are split into two cohorts. Cohort 1 is offered Year 4 starting with Summer Session, Term 1 & 2 through Winter Session, Term 1 (May-December). Cohort 2 is offered Year 4 starting with Winter Session, Term 1 through Winter Session, Term 2 (September-April)."
"3 One of NRSG 423, 426, 427, 428, 429 - these courses are prerequisites for term two NRSG Preceptorship options.","4 Options of NRSG 434, 440, 436, 437, 438, 439 for a total of 8 credits –options are limited by availability of placements."
