INFO,CREDIT
Second Year,Third Year
Chemical Engineering,Chemical and Biological Engineering
Fourth Year,Chemical Engineering
Chemical and Biological Engineering,CHBE 201
3,CHBE 220
4,CHBE 221
4,CHBE 230
3,CHBE 241
3,CHBE 244
3,CHBE 251
3,CHBE 263
1,CHBE 264
2,CHEM 250
2,CHEM 260
3,MATH 253
3,MATH 256
3,Total Credits
37,CHBE 345
4,CHBE 346
3,CHBE 352
4,CHBE 355
3,CHBE 356
3,CHBE 362
2,CHBE 370
3,CHBE 376
4,STAT 251
3,Complementary Studies electives1
3,Plus one of the programs listed below:
APSC 278,3
CHBE 366,2
CHBE 365,2
CHBE 381,3
Total Credits,37
APSC 450,2
CHBE 456,3
CHBE 457,3
CHBE 459,3
CHBE 485,3
CHBE 464,4
Technical Electives2,6
Complementary Studies electives1,3
Plus one of the programs listed below:,
CHBE 454,6
CHBE 474,3
CHBE 453,6
CHBE 481,3
Total Credits,36
1 See Complementary Studies Courses.,2 To be chosen from a list of electives available from the Department.
,
