INFO,CREDIT
Second Year,Third Year
Fourth Year,APSC 278
3,APSC 279
1,CIVL 201
3,CIVL 203
3,CIVL 204
3,CIVL 210
4,CIVL 215
4,CIVL 230
4,CIVL 231
4,CIVL 2351
4,EOSC 210
3,MATH 253
3,MATH 256
3,STAT 251
3,Total Credits
45,CIVL 300
3,CIVL 301
3,CIVL 3022
3,CIVL 303
3,CIVL 305
3,CIVL 311
4,CIVL 315
4,CIVL 316
4,CIVL 320
3,CIVL 331
4,CIVL 332
3,CIVL 340
3,Total Credits
40,CIVL 4023
3,CIVL 403
3,CIVL 409
3,CIVL 430
4,CIVL 445
3,CIVL 446
2,Technical electives4
15,Complementary Studies Electives5
3,Total Credits
36,"1 End of Term 2, second year."
2 2This course satisfies the impact of technology on society requirement within the Complementary Studies Courses.,3 This course counts towards the professional development requirements within the Complementary Studies Courses.
4 See 4th Year Technical Electives; several elective streams are possible,5 See  Complementary Studies Courses.
