INFO,CREDIT
CPEN 211,5
CPSC 259,4
ELEC 201,4
ELEC 202,4
ELEC 211,2
ELEC 221,4
ELEC 281,3
ELEC 2911,6
MATH 253,3
MATH 256,3
MATH 264,1
Total Credits,39
1 Students in the Biomedical Engineering Option will take ELEC 271 and ELEC 292 instead of ELEC 291.,
CPEN 211,5
CPEN 221,4
CPEN 281,3
CPSC 261,4
ELEC 201,4
ELEC 221,4
ELEC 291,6
MATH 220,3
MATH 253,3
MATH 256,3
Total Credits,39
CPEN 211,5
CPEN 221,4
CPEN 281,3
CPEN 291,6
CPSC 221,4
CPSC 261,4
ELEC 201,4
MATH 220,3
MATH 253,3
MATH 256,3
Total Credits,39
Third Year (for students who enter the program in September 2013),Third Year (for students who enter the program in September 2018 or later)
Fourth Year,CPEN 311
4,CPEN 331
4,CPEN 391
6,CPSC 221
4,ELEC 202
4,"One of MATH 318, STAT 251, MATH 302, STAT 302"
3,Electives1
6,Complementary Studies electives2
6,Total Credits
37,CPEN 311
4,CPEN 331
4,CPEN 391
6,ELEC 221
4,"One of MATH 318, STAT 251, MATH 302, STAT 302"
3,Electives1
10,Complementary Studies electives2
6,Total Credits
37,APSC 450
2,CPEN 481
3,CPEN 491
10,Electives1
21,Science elective1
3,Total Credits
39,1 To be chosen based on Department-approved list of Computer Engineering electives.
2 See Complementary Studies courses.,
Third Year (for students who enter the program in September 2013),Third Year (for students who enter the program in September 2014 or later)
Fourth Year,CPEN 311
4,CPEN 321
4,CPEN 331
4,CPEN 391
6,CPSC 221
4,CPSC 304
3,CPSC 320
3,"One of MATH 318, STAT 251, MATH 302, STAT 302"
3,Complementary Studies electives1
6,Total Credits
37,CPEN 311
4,CPEN 321
4,CPEN 331
4,CPEN 391
6,CPSC 221
4,CPSC 304
3,CPSC 320
3,ELEC 221
4,"One of MATH 318, STAT 251, MATH 302, STAT 302"
3,Complementary Studies electives1
3,Total Credits
38,APSC 450
2,CPEN 421
4,CPEN 422
4,CPEN 481
3,CPEN 492
10,Science elective2
3,Electives2
13,Total Credits
39,1 See Complementary Studies courses.
2 To be chosen based on Department-approved list of Software Engineering electives.,Fourth Year
Third Year,4
CPEN 311,4
ELEC 301,4
ELEC 311,4
ELEC 315,4
ELEC 321 or STAT 321,4
ELEC 341,4
ELEC 342,6
ELEC 391,6
Complementary Studies electives1,40
Total Credits,2
APSC 450,3
ELEC 481,10
ELEC 491,18
Electives2,3
MATH elective2,36
Total Credits,
1 See Complementary Studies courses.,Fourth Year
2 To be chosen based on Department-approved list of Electrical Engineering electives.,3
Third Year,3
BMEG 410,4
BMEG 456,4
ELEC 301,4
ELEC 311,3
ELEC 341,6
ELEC 371,8
ELEC 391,3
Breadth Electives1,3
"One of STAT 251, MATH 302, MATH 318, STAT 302",41
Complementary Studies electives2,2
Total Credits,3
APSC 450,3
ELEC 422,3
ELEC 471,3
ELEC 473,10
ELEC 481,9
ELEC 494,3
Electives1,36
Complementary Studies electives2,2 See Complementary Studies Courses.
Total Credits,Fourth Year
1 To be chosen based on Department-approved list of Biomedical Engineering electives.,4
Third Year,4
ELEC 301,4
ELEC 311,4
ELEC 321 or STAT 357,4
ELEC 341,4
ELEC 342,6
ELEC 352,4
ELEC 391,6
Breadth Elective,40
Complementary Studies electives1,2
Total Credits,4
APSC 450,4
ELEC 451,4
ELEC 453,3
ELEC 454,10
ELEC 481,9
ELEC 492,36
"Electives2,3",
Total Credits,3 Students who have not completed EECE 392 or EECE 492 should complete EECE 392 (4 credits) and at least 5 credits of electives.
1 See Complementary Studies courses.,Fourth Year
2 To be chosen based on Department-approved list of Electrical Energy Systems electives.,4
,4
Third Year,4
ELEC 301,4
ELEC 311,4
ELEC 315,6
ELEC 321 or STAT 357,8
ELEC 361,6
ELEC 391,40
Breadth Electives1,2
Complementary Studies Electives2,3
Total Credits,3
APSC 450,3
ELEC 461,3
ELEC 462,10
ELEC 463,12
ELEC 481,36
ELEC 493,
Electives1,
Total Credits,
1 To be chosen based on Department-approved list of Nanotechnology and Microsystems Option.,
2 See Complementary Studies courses.,
