INFO,CREDIT
Second Year,Third Year
Fourth Year,MATH 254
3,MATH 258
3,MECH 2201
4,MECH 221
12,MECH 222
6,MECH 223
7,MECH 224
1,MECH 225
1,MECH 226 or MECH 2272
3 or 5,Total Credits
40 or 42,MECH 305
6,MECH 325
4,MECH 326 or MECH 426
3,MECH 327
3,MECH 328
3,MECH 358
3,MECH 360
3,MECH 368
3,MECH 375
3,MECH 380
3,MECH 392
2,Total Credits
36,APSC 450
2,ELEC 344
3,MECH 329
3,MECH 431
3,MECH 457 or APSC 4963
6,MECH 463
4,MECH 466
4,Technical electives4
9,Complementary Studies electives5
6,Total Credits
40,1 Taken prior to Term 1 of second year.
2 MECH 227 is taken in the summer after Second Year.,
3 Department approval required for APSC 496,
4 To be chosen from a course list available on the Department website.,5 See Complementary Studies Courses.
Third Year,Fourth Year
MECH 305,6
MECH 325,4
MECH 327,3
MECH 328,3
MECH 329,3
MECH 358,3
MECH 360,3
MECH 368,3
MECH 375,3
MECH 380,3
MECH 392,2
Total Credits,36
APSC 450,2
MECH 426,3
ELEC 344,3
MECH 431,3
MECH 457 or APSC 4963,6
MECH 463,4
MECH 466,4
Techincal electives4,9
Complementary Studies electives5,6
Total Credits,40
1 Taken prior to Term 1 of second year.,
2 MECH 227 is taken in the summer after Second Year.,
3 Department approval required for APSC 496.,
4 To be chosen from a course list available on the Department website.,
5  See Complementary Studies Course.,
,
,
Third Year,Fourth Year
BMEG 410,3
MECH 305,6
MECH 325,4
MECH 326 or MECH 426,3
MECH 328,3
MECH 358,3
MECH 360,3
MECH 368,3
MECH 375,3
MECH 380,3
MECH 463,4
Total Credits,38
APSC 450,2
BMEG 456,3
ELEC 344,3
MECH 431,3
MECH 439,1
MECH 459 or APSC 496 1,6
MECH 466,4
MTRL 495,3
Technical electives2,9
Complementary Studies electives3,6
Total Credits,40
1 Department approval required for APSC 496.,
2 To be chosen from a course list available on the Department website.,3 See Complementary Studies Courses.
Third Year,Fourth Year
BMEG 410,3
MECH 305,6
MECH 325,4
MECH 328,3
MECH 358,3
MECH 360,3
MECH 368,3
MECH 375,3
MECH 380,3
MECH 463,4
Complementary Studies electives3,3
Total Credits,38
APSC 450,2
BMEG 456,3
ELEC 344,3
MECH 426,3
MECH 431,3
MECH 439,1
MECH 459 or APSC 4961,6
MECH 466,4
MTRL 495,3
Technical electives2,9
Complementary Studies electives3,3
Total Credits,40
1 Department approval required for APSC 496.,2 To be chosen from a course list available on the Department website.
3 See Complementary Studies Courses.,
,Fourth Year
Third Year,3
CPEN 312,4
CPSC 259,3
ELEC 302,3
ELEC 343,4
MECH 306,4
MECH 325,3
MECH 328,3
MECH 360,3
MECH 366,3
MECH 375,2
MECH 392,4
MECH 463,39
Total Credits,2
APSC 450,3
CPEN 333,3
MECH 420,4
MECH 421,4
MECH 423,3
MECH 431,6
MECH 458,4
MECH 467,3
Technical electives1,6
Complementary Studies electives2,38
Total Credits,
1 To be chosen from a course list available on the Department website.,
2 See Complementary Studies Courses.,Fourth Year
Third Year,6
MECH 305,4
MECH 325,3
MECH 327,3
MECH 328,3
MECH 358,3
MECH 360,3
MECH 375,3
MECH 380,3
MECH 386,6
Complementary Studies electives1,37
Total Credits,2
APSC 450,3
ELEC 344,3
MECH 431,6
MECH 454 or APSC 4962,4
MECH 463,4
MECH 466,3
MECH 479,4
MECH 489,9
Technical electives3,38
Total Credits,
1 See Complementary Studies Courses.,
2 Department approval required for APSC 496.,
3 To be chosen from a course list available on the Department website.,
