INFO,CREDIT
Department/Major,Research-Intensive Approved Course(s)
Creative Writing,all CRWR courses at the 400-level except 430
Film Production,"FIPR 333, 335, 337, 338, 339, 399, 433, 434, 435, 436, 437, 469"
Theatre Acting,"THTR 391, 417, 439, 491"
Theatre Design and Production,"THTR 399, 405, 406, 407, 408, 417, 439, 448, 454, 456, 499"
Visual Arts,"VISA 401, 410, 411, 430, 431, 440, 441, 450, 451, 470, 471, 479, 480, 481"
,Major
Honours,Double Major or Double Honours
Upper-level credits required:,48
54,60
