INFO,CREDIT
Year 1,Year 2
Year 3,Year 4
ENGL 1121,3
ECON 101,3
ECON 102,3
MATH 100,3
MATH 101,3
COMM 101,3
COMM 292,3
CPSC 110,4
CPSC 121,4
Electives,3
Total Credits,32
COMM 202,1
COMM 290,3
COMM 291,3
COMM 293,3
COMM 294,3
COMM 295,3
COMM 298,3
COMM 205,3
CPSC 210,4
CPSC 213,4
CPSC 221,4
Total Credits,34
COMM 296,3
COMM 390,3
COMM 203,3
COMM 395,3
COMM 438,3
"3 credits from COMM 393, 204",3
CPSC 304,3
CPSC 310,4
CPSC 320,3
"One course from CPSC 313, 317, 319, 322, 344",3-4
Total Credits,31-32
COMM 3352,3
COMM 436,3
"3 credits from COMM 393, 2043",3
COMM 394,3
"3 credits from COMM 336, 435, 439, 456, or a 400-level Business Technology Management course4",3
"3 credits from COMM 491, 492, 497, 498",3
3 credits from CPSC 300 or higher,3
6 credits from CPSC 400 or higher,6
Elective,3
Total Credits,30
Total Credits for Degree,127-128
"1 Acceptable alternatives are WRDS 150, WRDS 350, ENGL 120, ENGL 121, Coordinated Arts Program, or Arts One.",
2 Must be taken in Term 1.,3 Whichever course not taken in third year.
,4 See B.Com. website for a list of Business Technology Management courses available to fulfill this requirement.
