INFO,CREDIT
EDUC 315,2
EDUC 421,12
EDUC 430,1
EDUC 440,3
EDUC 450,3
EDUC 451,3
EDUC 452,3
EPSE 308,3
EPSE 310,3
EPSE 311,1
EPSE 317,3
EDST 401,3
EDST 403,1
EDST 404,1
LLED 360,3
LLED 361,3
Curriculum 1 Required,3
Curriculum 2 Elective1,3
Curriculum 3 Elective1,3
Elective,3
"Program Total (Science specialists and generalists, and also Music specialists)",60-66
Program Total,60
"1 Credit value for electives will vary for teacher candidates in science (biology, chemistry, physics and/or earth science)",
