INFO,CREDIT
First Year,Second Year
Third Year,Fourth Year
Minimum Credits for Degree,130
APBI 200,3
ENGL 100-level1 or FRST 150,3
"BIOL 111, 1212",6
ECON 101 or FRST 101,3
MATH 1003,3
FRST 100,3
FRST 231,3
FRST 232,3
Electives4,6
Total Credits,33
FRST 200,3
FRST 201,3
FRST 210,3
FRST 211,3
FRST 239,3
FOPR 264,4
FOPR 388,3
CONS 200  (or 370),3
Electives,6
Total Credits,31
"Plus FRST 3505,6 or FRST 3515,6 immediately preceding third year",
FRST 305,3
FRST 307,3
FRST 318,3
FRST 320,3
FRST 339,3
FRST 350 or 351,2
FRST 395,3
FRST 452,2
FOPR  362,3
CIVL 210,4
WOOD 276,3
Restricted elective8,3
Total Credits,35
Plus FRST 452 immediately following third year,2
FRST 415,3
FRST 422,3
FRST 423,6
FRST 497,3
WOOD 365,3
WOOD 492,3
FOPR 464,4
CONS 3407,3
Restricted elective8,3
Total Credits,31
1 ENGL 112 recommended.,"2 Students with Biology 12 are exempt from BIOL 111. Substitute PHYS 100 if needed (exempt with PHYS 12) or CHEM 111 (exempt with CHEM 12). If none of these courses are needed, an elective may be substituted."
"3 Students may take MATH 180 (4 credits) or MATH 110 (6 credits) instead of MATH 100 (3 credits), but the credit difference cannot be applied towards program elective requirements. Students planning to obtain a P.Eng. after graduating require MATH 100, 101 & PHYS 170.","4 Students planning to obtain a P.Eng. after graduating require MATH 100, 101 & PHYS 170. Students without PHYS 12 should use 3 credits of electives to take PHYS 100."
,5 Credit will be given for only one of FRST 350 or FRST 351.
,6 Students will be assigned to the most appropriate course based on their levels of forestry and field experience as determined by the course instructors.
,7 CONS 340 may be replaced with another approved GIS or remote sensing course.
,8 Restricted electives are at the discretion of your Program Director. See your Program Director for a current list of accepted courses.
,Note: Some elective or specialization courses may carry credits in addition to the above table.
,Second Year
First Year,Fourth Year
Third Year,129
Minimum Credits for Degree,3
APBI 200,3
ENGL 100-level1 or FRST 150,6
"BIOL 111, 1212",3
ECON 101 or FRST 101,3
ECON 102,3
MATH 1003 or 1043,3
FRST 100,3
FRST 231,3
FRST 232,3
Electives4,33
Total Credits,3
FRST 200,3
FRST 201,3
FRST 210,3
FRST 211,3
FRST 239,3
FRST 318,3
FOPR 264,3
FOPR 388,3
CONS 200 (or 370),3
Elective,30
Total Credits,
"Plus FRST 3505,6 or FRST 3515,6 immediately preceding third year",3
FRST 305,3
FRST 307,3
FRST 320,3
FRST 339,2
FRST 350 or 351,3
FRST 395,2
FRST 452,3
FOPR 362,3
COMR 457,3
COMR 329,3
COMR 465,3
COMR 398 or 458,34
Total Credits,
Plus FRST 452 immediately following third year,3
FRST 415,3
FRST 422,6
FRST 423,3
FRST 497,3
WOOD 365,3
WOOD 492,4
FOPR 464,3
COMR 473,3
COMR 493,31
Total Credits,
1 ENGL 112 recommended.,
"2 Students with Biology 12 are exempt from BIOL 111. Substitute PHYS 100 if needed (exempt with PHYS 12) or CHEM 111 (exempt with CHEM 12). If none of these courses are needed, an elective may be substituted.",
"3 Students may take MATH 180 or 184 (4 credits) or MATH 110 (6 credits) instead of MATH 100 or 104 (3 credits), but the credit difference cannot be applied towards program elective requirements.",
4 Students without PHYS 12 should use 3 credits of electives to take PHYS 100.,
Note: Some elective or specialization courses may carry credits in addition to the above table.,
