INFO,CREDIT
First Year,Second Year
Third Year,Fourth Year
ENGL 100-level or FRST 150,3
BIOL 111 and 1211,6
"CHEM 121 (100, 111) or PHYS 101 (100)2",4/3
ECON 101 or FRST 101,3
FRST 100,3
FRST 2323,3
MATH 100 or 102 or 104 or 1904,3
APBI 200,3
Electives,3
Total Credits,30/31
CONS 370,3
FOPR 264,4
FRST 370,3
FRST 200,3
FRST 201,3
FRST 210,3
FRST 211,3
FRST 231,3
FRST 239,3
Specialization-specific Elective5,3
Total Credits,31
"FRST 3506,7 or FRST 3516,7 immediately preceding third year",2
COMR 457,3
FRST 305,3
FRST 307,3
FRST 318,3
FRST 320,3
FRST 339,3
FRST 385,3
FRST 395,3
FRST 444,3
FRST 452,2
WOOD 461,3
Total Credits,32
COMR 329,3
FRST 415,3
FRST 422,3
FRST 423,6
FRST 497,3
WOOD 365,3
Specialization-specific Electives5,9
Total Credits,32
1 Students with Biology 12 should replace BIOL 111 with 3 credits of electives.,"2 CHEM 111 and PHYS 100 are intended for students without CHEM 12 and PHYS 12, respectively. If students do not have Grade 12 level in both sciences, they are encouraged to select a science not taken at the Grade 12 level."
"3 Students with strong computing skills, especially in the use of spreadsheets, can replace FRST 232 with 3 credits of electives, upon approval by the program director.","4 Students take MATH 180, 184, 190 (4 credits) or MATH 110 (6 credits) instead of MATH 100, 102, or 104 (3 credits), but the credit difference cannot be applied towards program elective requirements."
"5  Specialization-specific electives are to be chosen from the following:     ANTH 201A (3), ANTH 220 (3), CONS 340 (3), CONS 481 (3), FNLG 101B (3), FNSP 210 (3), FRST 339 (3), FRST 386 (3), FRST 439 (3), FRST 470 (3) FRST 490 (3), LAW 200 (3), LAW 395A (2), POLI 316A (3), SOCI 201A (3), SOCI 220 (3), SOCI 360A (3), WOOD 474 (2).",
6 Credit will be given for only one of FRST 350 or FRST 351.,
7 Students will be assigned to the most appropriate course based on their levels of forestry and field experience as determined by the course instructors.,
First Year,Second Year
Third Year,Fourth Year
ENGL 100-level or FRST 150,3
BIOL 111 and 1211,6
CHEM 121 (111) or PHYS 101 (100)2,4/3
ECON 101 or FRST 101,3
ECON 102,3
FRST 100,3
FRST 232,3
MATH 100 or 102 or 1043,3
Electives,3
Total Credits,30/31
FOPR 261 immediately preceding second year,2
FOPR 262,3
FRST 270,3
FRST 200,3
FRST 201,3
FRST 210,3
FRST 211,3
FRST 231,3
FRST 239,3
Specialization-specific Elective4,3
Elective,3
Total Credits,30
FRST 351 immediately preceding third year,2
COMR 329,3
COMR 398 or 458,3
COMR 457,3
COMR 465,3
CONS 370,3
FRST 305,3
FRST 307,3
FRST 318,3
FRST 320,3
FRST 385,3
FRST 395,3
WOOD 461,3
Total Credits,36
FRST 452 immediately following third year,2
COMR 473,3
COMR 493,3
FRST 415,3
FRST 422,3
FRST 423,6
FRST 444,3
FRST 497,3
WOOD 365,3
Specialization-specific Electives4,6
Total Credits,33
1 Students with Biology 12 should replace BIOL 111 with 3 credits of electives.,"2 CHEM 111 and PHYS 100 are intended for students without CHEM 12 and PHYS 12, respectively. If students do not have Grade 12 level in both sciences, they are encouraged to select a science not taken at the Grade 12 level."
"3 Students may take MATH 180, 184 (4 credits) or MATH 110 (6 credits) instead of MATH 100, 102 or 104 (3 credits), but the credit difference cannot be applied towards program elective requirements.","4 Specialization specific electives are to be chosen from following: ANTH 201A (3), ANTH 220 (3), CONS 340 (3), CONS 481 (3), FNLG 101B (3), FNSP 210 (3), FRST 339 (3), FRST 386 (3), FRST 439 (3), FRST 470 (3), FRST 490 (3), LAW 200 (3), LAW 395A (2), POLI 316A (3) SOCI 201A (3), SOCI 220 (3), SOCI 360A (3), WOOD 474 (2)."
