INFO,CREDIT
First Year,Second Year
Third Year,Fourth Year
Fifth Year,Same as above
32,
,Same as above
30,Plus BEST 3101
3,
,BEST 300
3,BEST 301
3,BEST 302
3,BEST 308
3,Restricted Natural Resources Conservation Elective
3,Total Credits
15,
,BEST 3111
3,BEST 3121
3,
,BEST 303
3,BEST 304
3,FRST 302
3,FRST 318
3,BEST 400
3,BEST 401
3,BEST 402
3,Restricted Commerce Elective
3,Electives
6,Total Credits
30,
,BEST 4111
3,
,BEST 403
3,CONS 425
3,WOOD 365
3,WOOD 461
3,Electives
3,Total Credits
15,
,BEST 4121
3,
,1 Co-operative work term
