INFO,CREDIT
First Year,Second Year
Second Year (Summer),Third and Fourth Years
Third Year (Summer),Fourth Year (Summer)
Fifth Year,Minimum Credits for Dual Degree
167,ENGL 100-level1 or FRST 150
6,"BIOL 111, 121, and 1402"
8,CHEM 121 (111) and 123
8,MATH 100 and 101 or MATH 102 and 1033
6,CONS 101 (FRST 100)
3,APBI 200
3,Total Credits
34,APBI 244 (or GEOB 204)
3,BIOL 200
3,BIOL 201
3,CHEM 233 and 235
4,FRST 200
3,FRST 201
3,FRST 210
3,FRST 211
3,FRST 231 (or BIOL 300)
3,Elective4
3,Total Credits
31,EDUC 319
1,EDUC 440
3,Total Credits
4,"FRST 3504, 5 or FRST 3515,6 immediately preceding third year"
2,EDCP 352A
3,EDST 401
3,EPSE 308
3,FRST 302
3,FRST 307
3,FRST 395
3,FRST 399
3,FRST 430
3,FRST 495 or BIOL 416
3,LLED 360
3,Area of Concentration
12,Forestry electives 8
12,Total Credits
54,EDUC 399
1,LLED 361
3,Total Credits
4,EDST 403
1,EDST 404
1,EDCP 328 or 4XX
3,EPSE 317
3,Total Credits
8,EDUC 315
2,EDUC 421
12,EDUC 430
1,EDUC 450B
3,EDUC 451
3,EDUC 452B
3,EPSE 310
2,EPSE 311
1,EDCP 354
3,Total Credits
30,1 ENGL 100 level courses: students in the dual degree should choose courses in both Literature and Composition.
2 Students with Biology 12 should replace BIOL 111 with  BIOL 112.,"3 Students may take MATH 180, 184 (4 credits) or MATH  110 (6 credits) instead of MATH 100 or 102 (3 credits),  but the credit difference cannot be applied towards  program elective requirements."
4 PHYS 100 is suggested for students who do not have  credit for Physics 12.,5 Credit will be given for only one of FRST 350 or FRST  351.
6 Students will be assigned to the most appropriate course  based on their levels of forestry and field experience as  determined by the course instructors.,"7 Students will choose 12 credits from one of the  groupings below for their Area of Concentration. Substitutions may be allowed at the discretion of the  Director of the Forest Sciences Program. Plant genetics/genomics/physiology: CONS 302; FRST 311, 413, 432; APBI 318; BIOL 335, 338, 352. Forest ecology and management: FRST 305, 310, 320, 385, 408; APBI 401, 402. Biodiversity conservation and management: CONS 330, 481, 486, 495; FRST 386; APBI 416. International forestry/sustainability: FRST 411, 415, 439, 444; CONS 330, 425; WOOD 461. Geomatics/mensuration: CONS 340; FRST 232, 239, 339, 443 (or GEOB 373), 490; GEOB 370, 479."
"8 All 300- and 400-level APBI, CONS, FRST and UFOR courses that are not specifically required for the program are eligible as Forestry electives as long as students have the necessary prerequisites.",
,
