INFO,CREDIT
First Year,Second Year
Second Year (Summer),Third Year
Third Year (Summer),Fourth Year
Fourth Year (Summer),Fifth Year
Minimum Credits for Dual Degree,167 (168)
APBI 200,3
ENGL 100-level1 or FRST 150,6
BIOL 121,3
CONS 101,3
ECON 101,3
ECON 102,3
GEOB 103,3
MATH 100 or 102 or 1042 or 190,3 (4)
Elective,3
Total Credits,30 (31)
CONS 200,3
CONS 210,3
FRST 200,3
FRST 201,3
FRST 210,3
FRST 211,3
FRST 231 (or STAT 200 or BIOL 300),3
FRST 232,3
SOCI 101 or SOCI 102,3
Total Credits,27
EDUC 319,1
EDUC 440,3
Total Credits,4
CONS 330,3
COND 340 or GEOB 270,3
CONS 481,3
EDST 401,3
FRST 318 or ECON 371 or ECON 374,3
FRST 385,3
FRST 386,3
FRST 395,3
LLED 360,3
SOCI 360,3
Total Credits,30
EDUC 399,1
LLED 361,3
Total Credits,4
FRST 443,3
FRST 495,3
CONS 425 or CONS 440 or FRST 415,3
CONS 451,15
CONS 486,3
Total Credits,27
EDST 403,1
EDST 404,1
EDCP 328 or 4XX,3
EPSE 317,3
Total Credits,8
EDUC 315,2
EDUC 421,12
EDUC 430,1
EDUC 450B,3
EDUC 451B,3
EDUC 452B,3
EPSE 310,3
EPSE 311,1
EDCP 352A,3
EDCP 354,3
EPSE 308,3
Total Credits,37
1 ENGL 100 level courses: students in the dual degree should choose courses in both Literature and Composition.,"2 Students may take MATH 180, 184 (4 credits) or MATH 110 (6 credits) instead of MATH 100 or 102 (3 credits), but the credit difference cannot be applied towards program elective."
