INFO,CREDIT
First Year,Second Year
Third Year and Fourth Year,APBI 200
3,BIOL 1211
3,CONS 200
3,ECON 101 or FRST 101
3,"ENGL 110, 111, 112, or FRST 150"
3,SOCI 101 or 102
3,UFOR 100
3,UFOR 110
3,Restricted Electives2
6,Total Credits
30,CONS 210
3,DES 130 or DES 230
3,FRST 200
3,FRST 201
3,FRST 210
3,PLAN 221
3,UFOR 200
3,WOOD 225
3,UFOR 220
3,Elective3
3,Total Credits
30,CONS 340
3,CONS 481
3,FRST 370 or PLAN 321
3,FRST 443
3,UFOR 330
3,UFOR 316
3,LARC 444
3,UFOR 300
3,UFOR 401
9,UFOR 402
3,UFOR 495
3,Electives3
6,Minor Course Pool4
18,Total Credits
63,UFOR 400 Immediately following third year
3,"1 Students without Biology 11 or 12 should take BIOL 111 as one of their restricted electives in order to take BIOL 121, a required course for all 1st year BUF students."
"2 Restricted elective courses must be chosen from: APBI 244/GEOB 204 (3), BIOL 111 (3) 1, FOPR 264 (4), FRST 100 (3) or FRST 110, FRST 231 (3), FRST 232 (3), GEOB 102 (3), GEOB 103 (3), GEOG 250 (3), MATH 100 (3) or MATH 102 (3) or MATH 104 (3) or MATH 190 (3), or other MATH 100 level course. CHEM 121/123, and PHYS 100 level (students who are going to the UGM minor may wish to take CHEM 123 or PHYS 100 level as one of the restricted electives).","3 Recommended electives: FRST 231 (3) (Co-requisite: One of MATH 100/102/104/180/184/190), APBI 402 (3), COMM 388 (3), CONS 330 (3), CONS 370 (3), DES 220 (3), DES 200 (3), FRST 239 (3) (pre-reqs FRST 231 and FRST 232), FRST 318 (3), FRST 395 (3), FRST 410 (3), FRST 444 (3), GEOG 311, PLAN 425 (3) (pre-req one of URST200, GEOG 350), FRE 374 (3)"
4 Students wishing to complete a Minor must take all of the courses from one of the two Minor pools listed below. Students who do not wish to select a Minor must select 6 courses from either of the pools.,
