INFO,CREDIT
First Year,Second Year
Third Year,Fourth Year
Overall four-year total6,123
LFS 100,1
LFS 150 or ENGL 112 or WRDS 150,3
BIOL 112 &121,6
BIOL 140,2
CHEM 121 (or 111)1,4
CHEM 123 (or 113),4
MATH 102 or equivalent2,3
"PHYS 101, 107, or 1173",3
Restricted electives4,3
Unrestricted electives5,3
Total Credits,32
LFS 250,6
LFS 252 (or FRST 231 or BIOL 300),3
BIOL 200 & 201,6
CHEM 233 & 235,4
MICB 201,3
Restricted electives4,9
Total Credits,31
Restricted electives4,24
Unrestricted electives5,6
Total Credits,30
Restricted electives4,15
Unrestricted electives5,15
Total Credits,30
1 CHEM 111 is not for students with Chemistry 12.,
2 Students who have not completed Calculus 12 must take MATH 180 or 184 to fulfill their first year Math requirement.,
3 Students without credit for Physics 12 must take PHYS 100 before taking other 100-level PHYS courses.,
"4 To be selected in consultation with a program advisor. Typically includes courses in APBI, BIOL, and FNH. For suggested courses see Restricted Electives List.",
5 Third and fourth year unrestricted electives should be selected from either 300- or 400-level courses.,
6 A minimum of 45 credits of the 123 credits required for the Major must be from courses numbered 300 or higher.,
