INFO,CREDIT
First Year,Second Year
Third Year,Fourth Year
Overall four-year total4,LFS 100
1,LFS 150 or ENGL 112
3,BIOL 112 & 121
6,BIOL 140
2,CHEM 121 (or 111)1
4,CHEM 123 (or 113)
4,MATH 102 or equivalent2
3,Restricted elevtives3
6,Unrestricted elective
3,Total Credits
32,ECON 101 or 102
3,LFS 250
6,LFS 252 (or FRST 231 or BIOL 300)
3,APBI 200
3,BIOL 210 or APBI 210
4,Restricted electives3
9,Unrestricted elective
3,Total Credits
31,LFS 350
3,Restricted electives3
21,Unrestricted electives
6,Total Credits
30,LFS 450
3,Restricted electives3
21,Unrestricted electives
6,Total Credits
30,1 CHEM 111 is not for students with Chemistry 12.
,2 Students who have not completed Calculus 12 must take MATH 180 or 184 to fulfill their first year MATH requirement.
,"3 To be selected in consultation with a program advisor. Typically includes courses in APBI, BIOL and FNH. Must include at least 9 credits of 400 level courses prior to graduation. For suggested courses see the list posted on the Faculty website. Students interested in studying soils should take PHYS 101, 107 or 117. Students without credit for Physics 12 must take PHYS 100 before taking other 100-level PHYS courses."
,4 A minimum of 45 credits of the 123 credits required for the Major must be from courses numbered 300 or higher.
,
