INFO,CREDIT
First Year,Second Year
Third Year,Fourth Year
LFS 100,1
LFS 150 or ENGL 112 or WRDS 150,3
BIOL 112 & 121,6
BIOL 140,2
CHEM 121 (or 111)1,4
CHEM 123,4
MATH 102 or equivalent2,3
"PHYS 101, 107 or 1173",3
Restricted electives4,3
Unrestricted elective,3
Total Credits,32
LFS 250,6
LFS 252 (or FRST 231 or BIOL 300 or STAT 200),3
APBI 200,3
APBI 210,4
APBI 244,3
APBI 260,6
BIOL 200,3
Restricted electives4,3
Total Credits,31
LFS 350,3
APBI 314,3
APBI 327 or APBI 328,3 or 4
APBI 351,3
APBI 360,3
ECON 3105,3
Restricted electives4,9
Unrestricted elective,3
Total Credits,30 or 31
APBI 402,3
APBI 460 or LFS 450,3
Restricted electives4,18
Unrestricted elective,6
Total Credits,30
"Overall four-year total6,7",123 or 124
1 Note CHEM 111 is not for students with Chemistry 12.,
2 Students who have not completed Calculus 12 must take MATH 180 or 184 to fulfill their first year Math requirement.,
3 Students without credit for Physics 12 must take PHYS 100 before taking other 100-level PHYS courses.,
4 To be selected from Restricted Electives list in consultation with a program advisor.,
"5 Credit will be given for only one of ECON 310, LFS 101,  or ECON 101.",
6 A minimum of 45 credits of the 123 or 124 credits required for the Major must be for courses numbered 300 or higher.,
7 Students may present more than the required total credits depending on electives selected.,
