INFO,CREDIT
First Year,Second Year
Third Year,Fourth Year
Overall four-year total credits,125
LFS 100,1
LFS 150 or ENGL 112 or WRDS 150,3
BIOL 112 & 121,6
BIOL 1551,6
CHEM 121 (or 111)2,4
CHEM 123 (or 113),4
MATH 102 & 103 or equivalent3,6
PHYS 101 or equivalent4,3
Total Credits,33
LFS 250,6
LFS 252 or equivalent5,3
FNH 200,3
FNH 250,3
CHEM 205 & 233,6
CHEM 235,1
BIOL 200 & 2016,6
MICB 202,3
Total Credits,31
LFS 350,3
BIOC 302,3
FNH 300,3
FNH 301,3
FNH 302,3
FNH 303,3
FNH 309,3
FNH 313,3
MICB 353,1
FNH 325,3
FNH 326,3
Total Credits,31
FNH 403,3
FNH 413,3
FNH 425 or FNH 497 or FNH 499,6
"One of ECON 101, ECON 310, LFS 101, FNH 415, or 300 or 400 level COMM",3
Restricted electives7,9
Unrestricted electives,6
Total Credits,30
"1 Equivalent courses include BIOL 153, CAPS 301",2 CHEM 111 is not for students with Chemistry 12.
"3 Students who have not completed Calculus 12 should take MATH 180 or 184, plus either MATH 103 or 105 to fulfill their first year Math requirement.",4 Equivalent courses include PHYS 107 or 117. Students without credit for Physics 12 must take PHYS 100 before taking other 100-level PHYS courses.
"5 Equivalent courses include BIOL 300, EPSE 482, FRST 231, STAT 200.","6 Equivalent courses include BIOL 201, BIOC 202, BIOC 203"
7 To be selected in consultation with a program advisor. For suggested courses see the list posted to the Faculty website.,
