INFO,CREDIT
First Year,Second Year
Third Year,Fourth Year
CAPS 390,3
CAPS 391,3
CHEM 233,3
CHEM 235,1
MICB 202,3
PHAR 201,3
PHAR 202,4
PHAR 220,3
PHAR 241,1
PHAR 299,6
CAPS 301,6
STAT 203,3
Total Credits,39
BIOC 202,3
BIOC 302,3
PHAR 303,4
PHAR 315,4
PHAR 321,3
PHAR 323,3
PHAR 330,1
PHAR 341,2
PHAR 342,2
PHAR 351,2
PHAR 352,2
PHAR 361,1
PHAR 362,1
PHAR 3691,3
PHAR 371,1
PHAR 399,6
Elective3,3
Total Credits,44
PHAR 401,4
PHAR 430,4
PHAR 435,3
PHAR 441,3
PHAR 442,3
PHAR 451,2
PHAR 452,2
PHAR 454,3
PHAR 460,2
PHAR 461,1
PHAR 462,1
PHAR 4692,3
PHAR 471,1
PHAR 472,1
PHAR 498,6
Electives3,6
Total Credits,45
PHAR 400,3
PHAR 403,1
PHAR 479,12
PHAR 4894,6
PHAR 499,5
Electives3,9
Total Credits,36
1 Taken in the summer after completing second year.,2 Taken in the summer after completing third year.
"3 Of the 18 elective credits required in the program, 6 must be chosen from outside the Faculty and 12 must be chosen from offerings within or approved by the Faculty.",4 Students must meet minimum requirements for community and institutional practice experience before opting for alternate practice sites.
