INFO,CREDIT
First Year,Second Year
Third Year,Fourth Year
Communication Requirement1,6
"BIOL 1122, 1212, 1402",8
CHEM 1213 (or 111),4
CHEM 123 (or 113),4
MATH 100 or 102 or 1044,3
MATH 101 or 103 or 1055,3
PHYS 100-level6,6
Total Credits,34
"BIOL 200, 201 (or BIOC 202)",6
BIOL 300 (or STAT 200),3
CHEM 205,3
CHEM 211,4
"CHEM 2337, 235",4
MICB 202,3
Electives8,12
Total Credits,35
"BIOC 301, 302",6
CAPS 301,6
CAPS 303,3
CAPS 390,3
Electives8,15
Total Credits,33
CAPS 421,3
"CAPS 422, 423, 424, 426",12
CAPS 4309,6
CAPS 4499,6
Electives8,3
Total Credits,30
Credits for Degree,132
1 A total of 6 credits of coursework is required to meet the Communication Requirement. For a full list of acceptable courses see the Communication Requirement.,"2 Students without one of Biology 11 or Biology 12 must take BIOL 111 before taking BIOL 112, 121 or 140. Students without Chemistry 12 must take CHEM 100 or CHEM 111 before taking BIOL 112."
3 Students who do not have B.C. High School Chemistry 12 (or its equivalent) must write the UBC Chemistry Basic Skills Test and may be required to take CHEM 100.,4 MATH 180 or 184 or 120 may substitute for any of the specified differential calculus courses listed by decreasing the electives by 1 credit. MATH 110 may be substituted for any of the specified differential calculus courses listed by decreasing the electives by 3 credits.
5 MATH 121 may substitute for any of the specified integral calculus courses listed by decreasing the electives by 1 credit.,6 Students are required to take PHYS 101 or 107 or 117. Students lacking Physics 12 must take PHYS 100 before taking PHYS 101 or 107 or 117. Students with Physics 12 should complete their first year requirement with PHYS 108 or 118.
7 CHEM 203 is accepted as a substitute for CHEM 233.,
"8 Elective credits together with required courses must fulfill the Faculty of Science’s: a) Foundational Requirement; b) Laboratory Science Requirement; c) Science Breadth Requirement;  d) Science and Arts Requirements;  e) Upper-level Requirement;  f) General Degree Requirements.Note that any extra elective credit taken in the first, second or third years can be applied to later elective credit requirements.",9 Students will normally be required to take CAPS 430 and 449 in the same Winter Session.
