INFO,CREDIT
First Year,Second Year at UBC campus
Second Year at BCIT campus,Third Year at UBC campus11
Third year at BCIT campus,Fourth Year at UBC campus
Fourth Year at BCIT campus,Communications Requirement1
6,"BIOL 121, 1402"
5,CHEM 121 (or 111)3
4,CHEM 123
4,MATH 100 or 102 or 1044
3,MATH 101 or 103 or 1055
3,"PHYS 101, 118, and 1196"
7,Electives7
2,Total Credits
34,BIOC 2038
3,BIOL 200
3,BIOL 2349
3,CHEM 20310
4,"CHEM 213, 245"
4,CHEM 211
4,STAT 200
3,Total Credits
24,"FSCT 280, 290"
9,Total Credits
9,BIOC 303
6,BIOC 30111
3,BIOL 335
3,Electives7
3,Total Credits
15,"FSCT 380, 390"
18,Total Credits
18,"BIOC 402, 410"
6,"One of BIOC 403, 440, 450, 460, 470"
3,BIOC research option12
6,BIOL 336
3,Electives7
3,Total Credits
21,"FSCT 480, 490"
11,Total Credits
11,Total Credits for Degree
132,1 A total of 6 credits of coursework is required to meet the Communication Requirement. For a full list of acceptable courses see Communication Requirement.
2 Students without one of Biology 11 or Biology 12 must take BIOL 111 before taking BIOL 121 or BIOL 140.,3 Students who do not have B.C. High School Chemistry 12 (or its equivalent) must write the UBC Chemistry Basic Skills Test and may be required to take CHEM 100.
4 MATH 180 or 184 or 120 may substitute for any of the specified differential calculus courses listed by decreasing the electives in a later year by 1 credit. MATH 110 may substitute for any of the specified differential calculus courses listed by decreasing the electives in a later year by 3 credits.,5 MATH 121 may substitute for any of the specified integral calculus courses listed by decreasing the electives in a later year by 1 credit.
"6 Students lacking Physics 12 must take PHYS 100 before taking any other 100-level PHYS course, using PHYS 100 as an elective. PHYS 117 is an acceptable substitute for PHYS 101. PHYS 108 & 109 are acceptable substitutes for PHYS 118 and 119. Students are encouraged to complete this specialization requirement in their first year.","7 Elective credits together with required courses must fulfill the Faculty of Science’s: a) Foundational Requirement; b) Laboratory Science Requirement; c) Science Breadth Requirement;  d) Science and Arts Requirements;  e) Upper-level Requirement;  f) General Degree Requirements.Any extra elective credit taken in the first, second, or third years can be applied to later elective credit requirements. See Faculty of Science Honours requirements"
"8 Students with a mark of 76% or higher in BIOL 201 or BIOC 202 may apply for admission to the Biochemistry specialization and will be allowed to use these courses in place of BIOC 203. However, BIOC 203 is the preferred route into biochemistry specializations.",9 Students with a mark of 70% or higher in BIOL 233 may use BIOL 233 in place of BIOL 234.
10 Students with CHEM 235 and a score of 76% or higher in CHEM 233 may apply for admission to this specialization and will be allowed to use CHEM 233 and 235 in place of CHEM 203.,11 All students in the Biochemistry Combined Honours specialization are required to register for the laboratory course BIOC 301 in the third year of their specialization.  Space is limited in this laboratory course.  Students who cannot take BIOC 301 in their third year must switch to another specialization.  They are not eligible to continue with a biochemistry specialization.
"12 Students may choose from either a) BIOC 449 or b) BIOC420 and ONE of BIOC 403, 440, 450, 460, or 470. Please note that BIOC 403, 440, 450, 460, or 470 cannot be double counted. If a student uses one of these courses to complete their specialization requirements, they cannot use the same course to fulfill their biochemistry research option.",
