INFO,CREDIT
GUITAR,"Core B.Mus. Requirements in Music History, Musicianship, Music Theory, and Music Technology (34 credits)"
Music Performance (28 credits),Secondary Performance (4 credits)
Ensembles (14-16 credits),Additional Requirements
Music Electives,Other Course Requirements
TOTAL CREDITS,123-125
Program requirements for the Bachelor of Music in Guitar include:,"For specific requirements, see Bachelor of Music, Degree Requirements."
MUSC 193,6
MUSC 293,6
MUSC 394,8
MUSC 494,8
MUSC 141 or 171A,2
MUSC 241 or 271A,2
"Secondary-level lessons in piano, if needed; see Minimum Achievements in Piano.",Large ensemble1
3-4,Large ensemble1
3-4,Small ensembles2
4,MUSC 1602
2,MUSC 1602
2,"1 Students may elect any one of MUSC 150, 153, or 154, with the permission of the School."
"2 It is often desirable that students take the guitar ensemble section of MUSC 160 in each of their first and second years, and that they either continue with the ensemble or elect one of the following courses in each of their third and fourth years: MUSC 156, MUSC 163, MUSC 165. Should appropriate small ensemble courses not be available in any given year, the required credits will be waived and the music elective requirement increased correspondingly.",MUSC 363
4,Music electives
12,Writing Requirement (WRDS 150 or ENGL 100)
3,Literature Requirement
3,Non-music electives
21,
