INFO,CREDIT
VOICE,"Core B.Mus. Requirements in Music History, Musicianship, Music Theory, and Music Technology (34 credits)"
Music Performance (28 credits),Secondary Performance (4 credits)
Ensembles (14-18 credits),Additional Requirements (28 credits)
Music Electives,Other Course Requirements
TOTAL CREDITS,123-127
Program requirements for the Bachelor of Music in Voice include:,"For specific requirements, see Bachelor of Music, Degree Requirements."
MUSC 193,6
MUSC 293,6
MUSC 394,8
MUSC 494,8
MUSC 141 or 171A,2
MUSC 241 or 271A,2
"Secondary-level lessons in piano, if needed; see Minimum Requirements in Piano.",MUSC 153 or 154
3-4,MUSC 153 or 154
3-4,MUSC 153 or 154
3-4,MUSC 153 or 154
3-4,Small ensemble
2,MUSC 170
2,MUSC 365
2,MUSC 442
4,MUSC 465
2,Language
6,Language
6,Language
6,"Language requirement: 6 credits each of Italian, French, and German. With approval of the voice division coordinator, students may concentrate on one or two of these languages, or may substitute other languages."
Music electives,6
"MUSC 311, 313, and 441 are highly recommended.",Writing Requirement (WRDS 150 or ENGL 100)
3,Literature Requirement
3,Non-Music Elective
3,
